,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
31,Female,Yes,42.0,No,Doctor,1.0,Low,2.0,4.0,5.034,6.7170000000000005,4.985,2.783,A
32,Male,No,19.0,No,Healthcare,1.0,Low,3.0,2.0,6.275,5.928,5.155,3.425,D
33,Male,No,26.0,No,Homemaker,9.0,Low,3.0,6.0,11.682,0.071,0.342,3.04,D
34,Female,Yes,83.0,No,Lawyer,1.0,High,2.0,6.0,5.114,7.542000000000001,7.068,1.7169999999999999,D
35,Female,No,27.0,Yes,Healthcare,3.0,Low,4.0,1.0,14.349,9.642999999999999,1.79,5.995,D
36,Male,No,32.0,No,Doctor,5.0,Low,3.0,4.0,6.94,11.151,7.382000000000001,3.2739999999999996,D
37,Female,Yes,28.0,No,Healthcare,1.0,Average,5.0,3.0,8.193,6.278,9.816,7.59,D
38,Female,Yes,28.0,Yes,Artist,8.0,average,2.0,6.0,6.666,3.748,2.603,3.5660000000000003,A
39,Male,Yes,56.0,Yes,Artist,1.0,Average,2.0,6.0,8.466000000000001,-0.7170000000000001,10.577,11.84,C
40,Female,No,47.0,Yes,Artist,4.0,Low,1.0,6.0,8.847999999999999,1.3230000000000002,6.7379999999999995,3.656,B
41,Female,No,22.0,No,Healthcare,0.0,average,2.0,6.0,10.324000000000002,0.992,7.968999999999999,-3.01,D
42,Female,No,40.0,Yes,Artist,14.0,average,3.0,6.0,4.586,2.68,6.247999999999999,5.511,A
43,Female,Yes,49.0,Yes,Artist,1.0,Low,2.0,0.0,10.835,13.175,7.61,5.932,C
44,Male,Yes,40.0,No,Engineer,8.0,Low,1.0,6.0,6.767,4.562,5.3229999999999995,1.442,A
45,Female,Yes,79.0,No,Lawyer,1.0,High,2.0,6.0,4.312,5.074,11.035,3.6489999999999996,A
46,Male,Yes,41.0,Yes,Artist,0.0,average,4.0,4.0,-0.02,1.409,6.702000000000001,0.087,B
47,Female,No,29.0,Yes,Healthcare,1.0,average,1.0,7.0,8.87,9.701,7.17,1.537,A
48,Male,No,19.0,No,Healthcare,0.0,Low,4.0,6.0,8.956,5.129,4.811,-1.508,D
49,Female,No,45.0,Yes,Engineer,1.0,Low,1.0,6.0,7.843999999999999,4.147,7.678,4.966,A
50,Female,Yes,61.0,No,Artist,1.0,Average,2.0,2.0,2.127,2.819,6.584,-0.976,B
51,Female,Yes,36.0,Yes,Artist,1.0,Average,2.0,6.0,11.456,-0.617,14.174000000000001,14.674000000000001,C
52,Male,Yes,40.0,Yes,Artist,1.0,Low,1.0,3.0,7.416,2.59,3.766,3.8510000000000004,A
53,Female,Yes,57.0,Yes,Entertainment,0.0,Average,2.0,6.0,20.154,14.844000000000001,6.98,17.265,C
54,Male,Yes,76.0,No,Marketing,1.0,Low,1.0,4.0,9.722999999999999,9.238999999999999,8.231,7.327999999999999,A
55,Male,Yes,32.0,Yes,Artist,14.0,Average,2.0,6.0,6.228,8.306000000000001,5.555,-0.894,B
56,Male,No,25.0,Yes,Healthcare,9.0,Low,4.0,6.0,7.773,7.957000000000001,0.025,4.671,D
58,Female,Yes,45.0,Yes,Artist,1.0,average,3.0,3.0,16.795,8.53,11.225,10.39,C
59,Male,Yes,72.0,Yes,Lawyer,1.0,Low,3.0,4.0,5.917000000000001,-1.8769999999999998,8.799,1.615,D
60,Male,Yes,48.0,Yes,Artist,0.0,Average,2.0,6.0,14.929,14.037,18.159000000000002,7.007999999999999,C
61,Male,Yes,55.0,Yes,Artist,9.0,Average,2.0,1.0,10.937999999999999,3.6689999999999996,9.629,3.569,C
62,Male,Yes,74.0,Yes,Lawyer,0.0,High,3.0,6.0,15.205,6.609,-0.198,8.524,D
63,Male,Yes,56.0,Yes,Lawyer,1.0,High,2.0,6.0,6.6160000000000005,7.0,4.448,5.815,A
64,Male,Yes,59.0,Yes,Lawyer,7.0,High,2.0,6.0,4.5089999999999995,5.937,5.631,5.125,A
65,Male,No,25.0,Yes,Entertainment,0.0,Low,2.0,6.0,7.757999999999999,3.136,6.526,3.4619999999999997,A
66,Male,Yes,31.0,Yes,Doctor,0.0,Average,2.0,6.0,4.931,3.085,5.944,4.968999999999999,A
67,Male,No,27.0,No,Artist,8.0,Low,4.0,6.0,8.618,5.702000000000001,3.062,2.97,A
68,Male,Yes,57.0,Yes,Artist,0.0,Average,4.0,6.0,5.281000000000001,1.565,2.7969999999999997,-0.03,B
69,Female,Yes,39.0,Yes,Homemaker,1.0,High,2.0,6.0,2.193,6.689,2.148,1.4409999999999998,A
70,Male,Yes,27.0,Yes,Healthcare,8.0,Low,2.0,6.0,12.898,7.534,7.336,-1.239,D
71,Female,Yes,51.0,Yes,Entertainment,8.0,Average,2.0,6.0,6.95,6.082000000000001,5.2860000000000005,2.092,A
72,Female,Yes,47.0,No,Artist,0.0,Average,5.0,6.0,6.301,-0.184,3.333,-4.684,B
73,Female,No,33.0,No,Healthcare,8.0,Low,4.0,6.0,7.104,9.793,0.83,10.687999999999999,D
74,Male,Yes,56.0,Yes,Artist,0.0,Average,4.0,6.0,12.074000000000002,1.6869999999999998,1.594,9.625,C
75,Female,No,33.0,No,Homemaker,0.0,Low,3.0,6.0,3.932,5.37,3.9219999999999997,-0.27699999999999997,B
76,Female,No,36.0,Yes,Doctor,0.0,Low,2.0,6.0,7.814,6.653,5.809,6.032,D
77,Male,Yes,51.0,No,Artist,4.0,Low,3.0,4.0,7.722,8.068999999999999,3.514,3.842,A
78,Male,Yes,45.0,Yes,Engineer,2.0,Average,2.0,6.0,17.502,10.182,14.007,7.0920000000000005,C
80,Male,No,30.0,No,Healthcare,0.0,Low,4.0,6.0,4.071000000000001,7.086,10.578,6.216,C
81,Female,No,26.0,No,Healthcare,6.0,Low,3.0,5.0,6.528,6.183,6.822,8.606,D
82,Male,Yes,63.0,Yes,Artist,8.0,Low,1.0,6.0,6.07,6.954,4.156000000000001,3.127,A
83,Male,Yes,35.0,No,Entertainment,8.0,average,4.0,3.0,-4.104,3.48,3.3089999999999997,2.3609999999999998,B
84,Female,No,19.0,No,Marketing,1.0,Low,3.0,4.0,4.167,5.204,6.193,5.992000000000001,A
85,Male,No,32.0,No,Healthcare,7.0,Low,5.0,6.0,4.544,5.09,7.195,3.861,D
86,Male,Yes,52.0,Yes,Artist,0.0,average,3.0,6.0,14.148,-4.249,11.587,10.493,C
87,Female,Yes,36.0,Yes,Artist,5.0,Low,2.0,6.0,6.867000000000001,8.823,-0.7290000000000001,6.178,C
88,Female,No,42.0,No,Entertainment,7.0,average,3.0,4.0,6.207000000000001,5.941,1.456,6.457000000000001,D
89,Male,Yes,40.0,No,Doctor,0.0,average,2.0,3.0,12.904000000000002,10.331,0.852,0.625,D
90,Male,No,39.0,Yes,Entertainment,0.0,Low,3.0,1.0,1.51,1.161,5.879,2.1590000000000003,B
91,Female,Yes,47.0,Yes,Artist,1.0,average,4.0,3.0,15.96,3.0669999999999997,1.504,6.837000000000001,C
92,Female,Yes,61.0,Yes,Artist,1.0,High,2.0,6.0,19.345,3.736,3.472,13.312000000000001,C
93,Male,Yes,32.0,No,Entertainment,1.0,Low,2.0,3.0,9.071,9.876,3.373,5.96,D
94,Male,Yes,55.0,No,Artist,0.0,Low,1.0,6.0,11.117,6.57,3.945,-5.016,B
95,Male,Yes,58.0,Yes,Artist,1.0,Average,1.0,6.0,9.892000000000001,3.93,7.81,8.925,D
97,Male,Yes,63.0,Yes,Artist,0.0,average,2.0,6.0,13.079,10.156,8.181000000000001,14.524000000000001,C
98,Male,Yes,58.0,Yes,Doctor,1.0,Average,2.0,6.0,14.849,6.204,13.800999999999998,1.0170000000000001,C
99,Male,Yes,40.0,No,Engineer,3.0,Average,3.0,4.0,9.918,3.1489999999999996,4.196000000000001,4.052,D
100,Male,Yes,60.0,Yes,Artist,0.0,Average,4.0,6.0,19.743,12.468,15.042,13.332,C
101,Male,Yes,68.0,No,Executive,1.0,High,7.0,6.0,6.295,1.69,4.88,3.234,B
102,Male,Yes,52.0,No,Artist,0.0,Low,3.0,4.0,4.808,1.663,2.025,4.024,A
103,Male,Yes,38.0,No,Executive,0.0,High,5.0,6.0,6.853,2.93,7.956,-0.07200000000000001,A
104,Female,Yes,35.0,Yes,Healthcare,10.0,Low,2.0,6.0,-2.137,2.963,6.97,3.898,B
105,Male,No,18.0,No,Doctor,1.0,average,2.0,6.0,16.777,4.694,5.447,5.922000000000001,D
106,Male,Yes,30.0,Yes,Homemaker,3.0,Low,2.0,1.0,8.065,1.3530000000000002,10.818,7.127999999999999,D
107,Male,No,86.0,No,Lawyer,1.0,Low,1.0,6.0,3.861,2.892,3.395,10.842,D
109,Male,No,25.0,No,Healthcare,9.0,Low,3.0,6.0,8.094,4.213,5.902,13.352,D
110,Male,Yes,59.0,Yes,Entertainment,1.0,Low,4.0,4.0,3.594,3.2230000000000003,2.318,4.9239999999999995,A
111,Female,No,39.0,Yes,Artist,0.0,Low,1.0,6.0,6.9670000000000005,5.629,0.18,6.407,A
112,Female,Yes,50.0,Yes,Doctor,1.0,Low,3.0,6.0,2.569,6.711,7.672999999999999,1.117,B
113,Male,No,47.0,Yes,Artist,1.0,average,1.0,6.0,17.8,6.375,18.923,3.4330000000000003,C
114,Male,Yes,43.0,Yes,Executive,0.0,High,3.0,6.0,0.575,7.739,6.899,6.193,D
116,Male,Yes,80.0,No,Lawyer,1.0,Low,1.0,6.0,13.185,-1.284,6.303,-0.106,D
117,Male,No,36.0,Yes,Artist,0.0,Low,2.0,2.0,18.998,9.416,7.888999999999999,15.554,C
119,Female,Yes,37.0,Yes,Artist,1.0,High,2.0,7.0,8.529,5.452999999999999,6.61,2.1180000000000003,A
120,Male,Yes,46.0,Yes,Executive,0.0,High,3.0,6.0,9.844,7.252000000000001,5.922000000000001,5.854,C
121,Male,Yes,55.0,No,Executive,1.0,High,4.0,3.0,6.087999999999999,7.33,1.775,4.144,B
122,Female,Yes,47.0,No,Engineer,9.0,Average,4.0,4.0,-0.031,8.863,4.9910000000000005,1.4869999999999999,B
123,Female,No,28.0,Yes,Healthcare,1.0,Low,3.0,3.0,9.154,2.1790000000000003,7.736000000000001,5.084,D
124,Male,Yes,39.0,No,Entertainment,9.0,Low,2.0,3.0,13.712,8.866,11.937000000000001,4.542,D
125,Female,Yes,27.0,No,Marketing,1.0,Low,2.0,6.0,5.144,3.623,5.807,4.479,A
126,Female,Yes,42.0,No,Engineer,0.0,Low,3.0,6.0,3.102,8.63,2.421,7.656000000000001,A
127,Male,Yes,72.0,Yes,Artist,0.0,Average,2.0,6.0,4.683,8.265,13.475999999999999,2.4459999999999997,C
128,Female,Yes,28.0,Yes,Engineer,0.0,Low,2.0,6.0,1.919,6.59,7.12,5.5520000000000005,A
129,Male,No,35.0,Yes,Entertainment,8.0,Low,5.0,6.0,15.957,11.164000000000001,10.212,4.048,C
130,Male,Yes,39.0,Yes,Executive,9.0,average,5.0,2.0,5.164,4.57,5.064,2.033,A
131,Female,Yes,69.0,Yes,Lawyer,0.0,High,2.0,6.0,14.085,10.106,9.181000000000001,4.441,C
132,Male,No,18.0,No,Healthcare,6.0,Low,3.0,4.0,5.5760000000000005,8.209,4.512,1.435,D
133,Male,Yes,46.0,Yes,Artist,1.0,Low,1.0,6.0,7.419,6.8229999999999995,4.828,2.495,A
134,Female,Yes,50.0,Yes,Engineer,1.0,High,2.0,4.0,9.466000000000001,-0.295,-0.193,0.688,B
135,Male,No,30.0,No,Executive,5.0,Low,5.0,6.0,5.757999999999999,4.975,3.65,4.571000000000001,A
136,Female,No,41.0,No,Artist,1.0,Low,2.0,6.0,5.947,0.20800000000000002,1.57,-2.641,B
137,Female,No,39.0,Yes,Artist,3.0,Low,4.0,6.0,6.09,4.97,0.789,9.931000000000001,D
138,Female,No,29.0,No,Marketing,8.0,Low,4.0,6.0,-1.8219999999999998,-2.1519999999999997,6.571000000000001,7.11,D
139,Female,Yes,37.0,Yes,Artist,4.0,Low,4.0,5.0,1.993,-2.123,4.4639999999999995,3.195,B
140,Female,Yes,39.0,Yes,Engineer,0.0,Average,2.0,6.0,8.797,6.024,6.98,1.276,A
141,Female,Yes,48.0,Yes,Artist,0.0,Average,5.0,7.0,15.383,7.757999999999999,13.265,11.411,C
142,Female,No,32.0,Yes,Doctor,0.0,Low,3.0,6.0,9.414,3.735,7.615,15.709000000000001,C
143,Male,Yes,78.0,No,Lawyer,1.0,Low,3.0,6.0,0.263,3.542,2.47,-1.4069999999999998,B
144,Female,Yes,43.0,No,Engineer,0.0,Average,5.0,4.0,2.208,4.5089999999999995,5.272,-6.007999999999999,B
145,Male,No,29.0,No,Marketing,8.0,Low,5.0,6.0,7.4479999999999995,-0.767,6.754,0.877,C
146,Female,Yes,28.0,No,Engineer,9.0,Average,2.0,4.0,7.443,3.84,3.1630000000000003,4.749,A
147,Male,Yes,80.0,Yes,Lawyer,1.0,Low,1.0,6.0,2.124,5.428,4.425,7.362,B
148,Female,No,28.0,Yes,Healthcare,7.0,Low,4.0,6.0,7.292999999999999,13.495,6.652,10.815,D
149,Male,Yes,71.0,Yes,Artist,6.0,Average,3.0,6.0,16.392,8.517000000000001,9.051,12.52,C
150,Male,Yes,67.0,No,Lawyer,0.0,High,9.0,4.0,5.725,3.6860000000000004,3.3939999999999997,8.247,A
151,Female,No,26.0,No,Engineer,0.0,average,1.0,2.0,7.433,2.384,4.133,8.61,A
152,Female,Yes,47.0,Yes,Engineer,0.0,Average,2.0,6.0,7.104,9.283,13.591,8.142999999999999,C
153,Female,Yes,43.0,Yes,Artist,2.0,Average,2.0,6.0,2.943,0.568,1.8,2.194,B
154,Female,No,27.0,Yes,Healthcare,0.0,Low,4.0,6.0,12.157,12.468,9.943999999999999,9.318999999999999,C
155,Female,Yes,45.0,Yes,Marketing,8.0,Low,4.0,6.0,8.067,1.964,9.354,12.437000000000001,D
156,Male,Yes,76.0,No,Executive,1.0,Low,1.0,6.0,15.939,10.335999999999999,12.402000000000001,10.425,C
157,Female,Yes,43.0,Yes,Artist,3.0,Average,4.0,6.0,7.692,8.957,4.877,8.509,C
158,Female,Yes,78.0,Yes,Lawyer,1.0,High,2.0,6.0,2.015,1.226,-0.303,0.35200000000000004,B
159,Male,Yes,35.0,Yes,Artist,3.0,Average,3.0,6.0,5.7170000000000005,5.026,6.774,11.074000000000002,C
160,Female,No,49.0,Yes,Artist,1.0,Low,1.0,6.0,16.741,5.038,13.161,9.597000000000001,C
161,Female,No,25.0,Yes,Healthcare,1.0,Low,5.0,6.0,2.87,0.371,2.339,4.375,D
162,Male,Yes,37.0,No,Executive,0.0,average,5.0,6.0,3.7430000000000003,3.387,6.257999999999999,3.511,A
163,Female,No,32.0,No,Healthcare,1.0,Low,5.0,0.0,13.725,9.029,9.038,8.43,C
164,Male,Yes,60.0,Yes,Doctor,0.0,Average,2.0,6.0,19.992,4.298,9.299,14.824000000000002,C
165,Female,Yes,45.0,Yes,Artist,5.0,Average,3.0,6.0,11.46,1.9509999999999998,12.842,10.679,C
166,Female,Yes,49.0,Yes,Homemaker,9.0,Average,3.0,6.0,12.772,5.018,2.495,17.539,C
167,Male,No,32.0,Yes,Artist,0.0,Low,5.0,6.0,4.122,-0.991,8.064,7.532,D
168,Female,Yes,40.0,Yes,Artist,0.0,Low,3.0,3.0,0.32899999999999996,2.355,6.877999999999999,-3.063,B
169,Male,Yes,59.0,No,Artist,2.0,average,2.0,4.0,14.679,5.303,12.662,6.746,C
170,Male,Yes,48.0,Yes,Artist,3.0,Low,5.0,6.0,1.2890000000000001,3.841,7.12,5.749,B
171,Male,Yes,82.0,Yes,Executive,0.0,High,2.0,6.0,14.87,1.575,10.105,2.491,C
172,Female,Yes,70.0,Yes,Lawyer,0.0,Low,2.0,6.0,5.058,5.16,1.195,3.4219999999999997,B
173,Male,No,31.0,Yes,Artist,5.0,Low,2.0,6.0,1.807,-0.35100000000000003,12.548,-2.75,B
174,Female,Yes,72.0,Yes,Lawyer,0.0,High,2.0,6.0,11.162,9.687000000000001,13.207,8.469,C
175,Male,Yes,50.0,Yes,Artist,3.0,Average,4.0,6.0,12.885,6.441,8.717,6.218999999999999,C
176,Female,No,23.0,No,Engineer,11.0,Low,1.0,3.0,11.964,4.485,0.55,-1.455,D
177,Female,No,20.0,No,Healthcare,2.0,Low,6.0,6.0,7.065,2.7030000000000003,3.468,5.337000000000001,D
178,Female,No,22.0,No,Healthcare,4.0,Low,3.0,6.0,7.1,3.67,3.694,0.09300000000000001,D
179,Female,No,31.0,Yes,Engineer,8.0,average,1.0,6.0,5.97,6.784,3.045,2.226,A
180,Female,Yes,36.0,Yes,Artist,7.0,Average,2.0,6.0,12.120999999999999,8.097999999999999,11.097000000000001,3.905,C
181,Male,Yes,52.0,No,Entertainment,1.0,Average,5.0,4.0,8.453,4.968999999999999,9.974,-3.2880000000000003,B
182,Female,No,29.0,Yes,Artist,1.0,Low,1.0,4.0,5.242000000000001,4.7010000000000005,3.287,-3.8489999999999998,B
183,Male,Yes,40.0,Yes,Artist,4.0,Average,4.0,6.0,18.093,0.14400000000000002,7.145,12.193,C
184,Female,No,40.0,Yes,Artist,1.0,Low,1.0,6.0,3.595,8.527000000000001,2.051,3.2560000000000002,A
185,Male,Yes,38.0,Yes,Artist,1.0,Low,2.0,6.0,14.25,10.904000000000002,18.491,4.635,C
186,Female,Yes,85.0,No,Lawyer,1.0,Low,3.0,0.0,4.947,5.614,3.64,2.9760000000000004,A
187,Female,No,21.0,No,Doctor,1.0,Low,3.0,7.0,6.506,7.318,1.3619999999999999,5.638,A
188,Female,Yes,41.0,No,Engineer,4.0,Average,2.0,6.0,11.454,5.763999999999999,5.692,0.9590000000000001,D
189,Male,Yes,40.0,Yes,Artist,0.0,Low,2.0,6.0,0.20199999999999999,1.4169999999999998,1.3730000000000002,3.248,B
190,Male,Yes,53.0,Yes,Artist,1.0,Average,3.0,6.0,7.2860000000000005,3.892,4.965,-0.425,B
191,Female,Yes,42.0,Yes,Artist,5.0,Low,2.0,6.0,10.294,5.856,13.76,-0.8170000000000001,C
192,Male,Yes,42.0,No,Executive,8.0,Low,2.0,6.0,6.848,-2.155,7.768,2.8339999999999996,D
193,Male,Yes,48.0,Yes,Artist,1.0,Average,4.0,7.0,13.912,11.249,11.987,7.861000000000001,C
194,Male,Yes,59.0,Yes,Artist,7.0,Low,2.0,6.0,10.579,-0.319,4.257,6.135,C
195,Male,Yes,41.0,Yes,Executive,1.0,Average,3.0,6.0,7.731,4.376,7.632000000000001,2.3369999999999997,A
196,Female,Yes,31.0,Yes,Artist,0.0,Average,2.0,6.0,7.422000000000001,3.367,8.387,-0.311,A
197,Female,Yes,49.0,Yes,Artist,1.0,High,5.0,6.0,2.525,5.053999999999999,-0.13699999999999998,3.1689999999999996,B
198,Male,Yes,67.0,Yes,Executive,1.0,Low,2.0,6.0,5.9910000000000005,3.511,6.381,8.827,A
199,Male,Yes,35.0,No,Artist,4.0,Average,2.0,6.0,0.997,2.7510000000000003,-4.875,-0.013000000000000001,B
200,Female,No,26.0,Yes,Healthcare,0.0,Low,3.0,6.0,7.104,4.146,11.128,11.887,C
202,Female,Yes,25.0,No,Engineer,6.0,Average,8.0,4.0,5.4670000000000005,3.188,10.2,3.0380000000000003,D
203,Female,Yes,39.0,Yes,Healthcare,4.0,Low,2.0,6.0,9.183,6.09,6.933,5.417000000000001,A
204,Male,Yes,63.0,Yes,Entertainment,0.0,Low,2.0,6.0,3.912,3.65,4.461,0.8029999999999999,A
205,Male,No,40.0,No,Healthcare,8.0,Low,3.0,6.0,9.805,6.629,6.486000000000001,3.092,D
206,Female,No,23.0,No,Healthcare,0.0,Low,3.0,3.0,5.59,-0.19899999999999998,5.532,2.7,D
207,Female,Yes,53.0,Yes,Artist,2.0,Low,1.0,6.0,10.685,8.54,2.2030000000000003,14.133,C
208,Male,No,33.0,Yes,Doctor,0.0,Low,2.0,6.0,5.441,1.6909999999999998,8.821,5.9270000000000005,B
210,Female,Yes,69.0,Yes,Engineer,0.0,Low,2.0,4.0,3.208,1.155,0.722,-0.932,B
211,Male,No,37.0,Yes,Artist,2.0,Low,1.0,6.0,7.516,3.5010000000000003,4.413,-1.876,B
212,Female,No,20.0,No,Marketing,3.0,Low,4.0,7.0,7.9670000000000005,15.619000000000002,4.124,21.899,C
214,Female,Yes,49.0,Yes,Doctor,1.0,Average,4.0,6.0,4.83,3.61,12.463,9.898,C
215,Male,No,18.0,No,Healthcare,0.0,Low,3.0,3.0,9.163,10.068,5.392,5.718,D
216,Female,Yes,52.0,Yes,Doctor,0.0,Average,2.0,6.0,16.275,6.06,5.441,4.282,C
217,Male,Yes,25.0,No,Doctor,1.0,Average,2.0,6.0,-1.514,2.758,6.664,-0.546,B
218,Male,Yes,56.0,No,Executive,1.0,High,2.0,6.0,7.904,3.21,6.443,4.367,A
222,Female,No,28.0,Yes,Artist,7.0,Low,3.0,6.0,6.136,6.042000000000001,6.939,3.071,A
223,Male,No,20.0,No,Healthcare,0.0,Low,5.0,7.0,13.172,6.327999999999999,4.68,10.492,D
224,Female,No,27.0,No,Homemaker,8.0,Low,1.0,3.0,14.062000000000001,3.748,6.5489999999999995,3.115,D
225,Female,No,56.0,No,Engineer,1.0,Low,1.0,6.0,6.627000000000001,4.668,5.245,2.93,A
226,Male,Yes,45.0,Yes,Artist,4.0,Average,4.0,6.0,4.208,-0.7170000000000001,1.335,-1.131,B
227,Male,No,25.0,Yes,Healthcare,1.0,Low,4.0,4.0,4.598,4.303999999999999,3.2569999999999997,3.865,B
228,Male,No,40.0,No,Marketing,1.0,Low,1.0,4.0,10.045,3.6460000000000004,5.551,6.417000000000001,D
229,Female,Yes,25.0,Yes,Healthcare,1.0,Low,2.0,6.0,7.474,8.579,5.185,8.062000000000001,D
230,Female,Yes,74.0,No,Lawyer,1.0,High,2.0,6.0,5.212999999999999,5.587999999999999,6.656000000000001,8.679,D
231,Female,No,23.0,No,Healthcare,0.0,average,4.0,0.0,11.118,6.028,6.527,4.649,D
232,Female,Yes,67.0,Yes,Lawyer,0.0,High,2.0,6.0,8.724,4.709,1.546,2.544,B
233,Male,No,21.0,No,Healthcare,0.0,Low,3.0,0.0,5.336,7.059,5.837999999999999,0.39299999999999996,D
234,Female,No,38.0,Yes,Artist,9.0,Low,1.0,3.0,9.258,7.704,9.411,1.7380000000000002,A
235,Male,No,28.0,No,Healthcare,0.0,average,4.0,2.0,5.904,-1.298,15.489,5.484,C
236,Female,No,32.0,No,Healthcare,1.0,Low,5.0,7.0,3.549,1.9769999999999999,-0.871,2.908,B
238,Female,Yes,56.0,No,Lawyer,1.0,High,4.0,4.0,-1.786,2.234,-0.9670000000000001,-1.295,B
239,Female,Yes,53.0,Yes,Artist,1.0,Low,2.0,6.0,4.1419999999999995,8.457,7.252000000000001,12.338,C
241,Female,Yes,59.0,Yes,Artist,0.0,Average,3.0,6.0,13.98,3.83,17.178,8.399,C
243,Male,Yes,59.0,Yes,Artist,0.0,Average,6.0,6.0,8.158,11.731,13.571,10.121,C
244,Female,Yes,36.0,Yes,Artist,0.0,Low,4.0,6.0,11.710999999999999,14.032,12.466,8.755,C
245,Male,Yes,37.0,Yes,Entertainment,7.0,Low,2.0,6.0,5.444,4.954,4.925,4.79,A
246,Male,No,22.0,No,Doctor,1.0,Low,3.0,2.0,11.026,7.727,11.702,0.5920000000000001,D
247,Male,Yes,43.0,Yes,Artist,1.0,Low,2.0,6.0,6.89,5.638999999999999,1.93,0.152,B
248,Male,Yes,41.0,Yes,Artist,1.0,Low,2.0,4.0,7.847,7.747999999999999,6.582000000000001,2.7880000000000003,A
249,Female,No,21.0,No,Engineer,0.0,Low,5.0,2.0,3.59,4.0489999999999995,4.285,-1.208,B
252,Male,Yes,47.0,No,Artist,1.0,Average,4.0,6.0,3.912,6.735,4.547,2.1069999999999998,A
253,Male,Yes,70.0,Yes,Lawyer,1.0,High,3.0,6.0,22.974,8.251,8.01,8.435,C
254,Female,No,31.0,No,Engineer,1.0,average,4.0,6.0,6.12,1.97,1.819,4.013999999999999,B
255,Female,Yes,82.0,No,Lawyer,0.0,Average,2.0,6.0,4.959,8.929,9.888,4.8260000000000005,A
256,Female,Yes,51.0,No,Executive,1.0,Low,1.0,6.0,5.452999999999999,3.907,5.648,6.432,A
