Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
Male,Yes,38.0,No,Executive,0.0,high,5.0,6,6.853,2.93,7.956,-0.072,A
Female,Yes,35.0,Yes,Healthcare,10.0,low,2.0,6,-2.137,2.963,6.97,3.898,B
Male,No,18.0,No,Doctor,1.0,average,2.0,6,16.777,4.694,5.447,5.922,D
Male,Yes,30.0,Yes,Homemaker,3.0,low,2.0,1,8.065,1.353,10.818,7.128,D
Male,No,86.0,No,Lawyer,1.0,low,1.0,6,3.861,2.892,3.395,10.842,D
Female,No,19.0,No,Healthcare,6.0,low,2.849,3,12.914,2.074,4.626,4.709,D
Male,No,25.0,No,Healthcare,9.0,low,3.0,6,8.094,4.213,5.902,13.352,D
Male,Yes,59.0,Yes,Entertainment,2.648,low,4.0,4,3.594,3.223,2.318,4.924,A
Female,No,39.0,Yes,Artist,0.0,low,1.0,6,6.967,5.629,0.18,6.407,A
Female,Yes,50.0,Yes,Doctor,1.0,low,2.849,6,2.569,6.711,7.673,1.117,B
Male,No,47.0,Yes,Artist,1.0,average,1.0,6,17.8,6.375,18.923,3.433,C
Male,Yes,43.0,Yes,Executive,0.0,high,3.0,6,0.575,7.739,6.899,6.193,D
Male,Yes,80.0,No,Lawyer,1.0,low,1.0,6,13.185,-1.284,6.303,-0.106,D
Male,No,36.0,Yes,Artist,0.0,low,2.0,2,18.998,9.416,7.889,15.554,C
Female,Yes,37.0,Yes,Artist,1.0,high,2.0,7,8.529,5.453,6.61,2.118,A
Male,Yes,46.0,Yes,Executive,0.0,high,3.0,6,9.844,7.252,5.922,5.854,C
Male,Yes,55.0,No,Executive,1.0,high,4.0,3,6.088,7.33,1.775,4.144,B
Female,Yes,47.0,No,Engineer,9.0,average,4.0,4,-0.031,8.863,4.991,1.487,B
Female,No,28.0,Yes,Healthcare,1.0,low,3.0,3,9.154,2.179,7.736,5.084,D
Male,Yes,39.0,No,Entertainment,9.0,low,2.0,3,13.712,8.866,11.937,4.542,D
Female,Yes,27.0,No,Marketing,1.0,low,2.0,6,5.144,3.623,5.807,4.479,A
Female,Yes,42.0,No,Engineer,0.0,low,2.849,6,3.102,8.63,2.421,7.656,A
Male,Yes,72.0,Yes,Artist,0.0,average,2.0,6,4.683,8.265,13.476,2.446,C
Female,Yes,28.0,Yes,Engineer,0.0,low,2.0,6,1.919,6.59,7.12,5.552,A
Male,No,35.0,Yes,Entertainment,8.0,low,5.0,6,15.957,11.164,10.212,4.048,C
Male,Yes,39.0,Yes,Executive,9.0,average,5.0,2,5.164,4.57,5.064,2.033,A
Female,Yes,69.0,Yes,Lawyer,0.0,high,2.0,6,14.085,10.106,9.181,4.441,C
Male,No,18.0,No,Healthcare,6.0,low,2.849,4,5.576,8.209,4.512,1.435,D
Male,Yes,46.0,Yes,Artist,2.648,low,1.0,6,7.419,6.823,4.828,2.495,A
Female,Yes,50.0,Yes,Engineer,1.0,high,2.0,4,9.466,-0.295,-0.193,0.688,B
Male,No,30.0,No,Executive,5.0,low,5.0,6,5.758,4.975,3.65,4.571,A
Female,No,41.0,No,Artist,2.648,low,2.0,6,5.947,0.208,1.57,-2.641,B
Female,No,39.0,Yes,Artist,3.0,low,4.0,6,6.09,4.97,0.789,9.931,D
Female,No,29.0,No,Marketing,8.0,low,4.0,6,-1.822,-2.152,6.571,7.11,D
Female,Yes,37.0,Yes,Artist,4.0,low,4.0,5,1.993,-2.123,4.464,3.195,B
Female,Yes,39.0,Yes,Engineer,0.0,average,2.0,5,8.797,6.024,6.98,1.276,A
Female,Yes,48.0,Yes,Artist,0.0,average,5.0,7,15.383,7.758,13.265,11.411,C
Female,No,32.0,Yes,Doctor,0.0,low,3.0,6,9.414,3.735,7.615,15.709,C
Male,Yes,78.0,No,Lawyer,1.0,low,2.849,6,0.263,3.542,2.47,-1.407,B
Female,Yes,43.0,No,Engineer,0.0,average,5.0,4,2.208,4.509,5.272,-6.008,B
Male,No,29.0,No,Marketing,8.0,low,5.0,6,7.448,-0.767,6.754,0.877,C
Female,Yes,28.0,No,Engineer,9.0,average,2.0,4,7.443,3.84,3.163,4.749,A
Male,Yes,80.0,Yes,Lawyer,1.0,low,1.0,6,2.124,5.428,4.425,7.362,B
Female,No,28.0,Yes,Healthcare,7.0,low,4.0,6,7.293,13.495,6.652,10.815,D
Male,Yes,71.0,Yes,Artist,6.0,average,3.0,6,16.392,8.517,9.051,12.52,C
Male,Yes,67.0,No,Lawyer,0.0,high,9.0,4,5.725,3.686,3.394,8.247,A
Female,No,26.0,No,Engineer,0.0,average,1.0,2,7.433,2.384,4.133,8.61,A
Female,Yes,47.0,Yes,Engineer,0.0,average,2.0,6,7.765,9.283,13.591,8.143,C
Female,Yes,43.0,Yes,Artist,2.0,average,2.0,6,2.943,0.568,1.8,2.194,B
Female,No,27.0,Yes,Healthcare,0.0,low,4.0,6,12.157,12.468,9.944,9.319,C
Female,Yes,45.0,Yes,Marketing,8.0,low,4.0,6,8.067,1.964,9.354,12.437,D
Male,Yes,76.0,No,Executive,1.0,low,1.0,6,15.939,10.336,12.402,10.425,C
Female,Yes,43.0,Yes,Artist,3.0,average,4.0,6,7.692,8.957,4.877,8.509,C
Female,Yes,78.0,Yes,Lawyer,1.0,high,2.0,6,2.015,1.226,-0.303,0.352,B
Male,Yes,35.0,Yes,Artist,3.0,average,3.0,5,5.717,5.026,6.774,11.074,C
Female,No,49.0,Yes,Artist,1.0,low,1.0,6,16.741,5.038,13.161,9.597,C
Female,No,25.0,Yes,Healthcare,1.0,low,5.0,5,2.87,0.371,2.339,4.375,D
Male,Yes,37.0,No,Executive,0.0,average,5.0,6,3.743,3.387,6.258,3.511,A
Male,Yes,60.0,Yes,Doctor,0.0,average,2.0,6,19.992,4.298,9.299,14.824,C
Female,Yes,45.0,Yes,Artist,5.0,average,3.0,6,11.46,1.951,12.842,10.679,C
Female,Yes,49.0,Yes,Homemaker,9.0,average,3.0,6,12.772,5.018,2.495,17.539,C
Male,No,32.0,Yes,Artist,0.0,low,5.0,6,4.122,-0.991,8.064,7.532,D
Female,Yes,40.0,Yes,Artist,0.0,low,3.0,3,0.329,2.355,6.878,-3.063,B
Male,Yes,59.0,No,Artist,2.0,average,2.0,4,14.679,5.303,12.662,6.746,C
Male,Yes,48.0,Yes,Artist,3.0,low,5.0,6,1.289,3.841,7.12,5.749,B
Male,Yes,82.0,Yes,Executive,0.0,high,2.0,6,14.87,1.575,10.105,2.491,C
Female,Yes,70.0,Yes,Lawyer,0.0,low,2.0,6,5.058,5.16,1.195,3.422,B
Male,No,31.0,Yes,Artist,5.0,low,2.0,6,1.807,-0.351,12.548,-2.75,B
Female,Yes,72.0,Yes,Lawyer,0.0,high,2.0,6,11.162,9.687,13.207,8.469,C
Male,Yes,50.0,Yes,Artist,3.0,average,4.0,6,12.885,6.441,8.717,6.219,C
Female,No,23.0,No,Engineer,11.0,low,1.0,3,11.964,4.485,0.55,-1.455,D
Female,No,20.0,No,Healthcare,2.0,low,6.0,6,7.065,2.703,3.468,5.337,D
Female,No,22.0,No,Healthcare,4.0,low,3.0,6,7.1,3.67,3.694,0.093,D
Female,No,31.0,Yes,Engineer,8.0,average,1.0,6,5.97,6.784,3.045,2.226,A
Female,Yes,36.0,Yes,Artist,7.0,average,2.0,5,12.121,8.098,11.097,3.905,C
Male,Yes,52.0,No,Entertainment,2.648,average,5.0,4,8.453,4.969,9.974,-3.288,B
Female,No,29.0,Yes,Artist,2.648,low,1.0,4,5.242,4.701,3.287,-3.849,B
Male,Yes,40.0,Yes,Artist,4.0,average,4.0,6,18.093,0.144,7.145,12.193,C
Female,No,40.0,Yes,Artist,1.0,low,1.0,6,3.595,8.527,2.051,3.256,A
Male,Yes,38.0,Yes,Artist,2.648,low,2.0,6,14.25,10.904,18.491,4.635,C
Female,No,21.0,No,Doctor,1.0,low,3.0,7,6.506,7.318,1.362,5.638,A
Female,Yes,41.0,No,Engineer,4.0,average,2.0,6,11.454,5.764,5.692,0.959,D
Male,Yes,40.0,Yes,Artist,0.0,low,2.0,6,0.202,1.417,1.373,3.248,B
Male,Yes,53.0,Yes,Artist,1.0,average,3.0,6,7.286,3.892,4.965,-0.425,B
Female,Yes,42.0,Yes,Artist,5.0,low,2.0,6,10.294,5.856,13.76,-0.817,C
Male,Yes,42.0,No,Executive,8.0,low,2.0,6,6.848,-2.155,7.768,2.834,D
Male,Yes,48.0,Yes,Artist,2.648,average,4.0,7,13.912,11.249,11.987,7.861,C
Male,Yes,59.0,Yes,Artist,7.0,low,2.0,6,10.579,-0.319,4.257,6.135,C
Male,Yes,41.0,Yes,Executive,1.0,average,3.0,6,7.731,4.376,7.632,2.337,A
Female,Yes,31.0,Yes,Artist,0.0,average,2.0,6,7.422,3.367,8.387,-0.311,A
Female,Yes,49.0,Yes,Artist,1.0,high,5.0,6,2.525,5.054,-0.137,3.169,B
Male,Yes,67.0,Yes,Executive,1.0,low,2.0,5,5.991,3.511,6.381,8.827,A
Male,Yes,35.0,No,Artist,4.0,average,2.0,6,0.997,2.751,-4.875,-0.013,B
Female,No,26.0,Yes,Healthcare,0.0,low,3.0,6,7.765,4.146,11.128,11.887,C
Male,No,19.0,No,Healthcare,9.0,average,3.0,3,3.409,6.418,-2.015,4.446,D
Female,Yes,25.0,No,Engineer,6.0,average,8.0,4,5.467,3.188,10.2,3.038,D
Female,Yes,39.0,Yes,Healthcare,4.0,low,2.0,6,9.183,6.09,6.933,5.417,A
Male,Yes,63.0,Yes,Entertainment,0.0,low,2.0,6,3.912,3.65,4.461,0.803,A
Male,No,43.47,No,Healthcare,8.0,low,3.0,6,9.805,6.629,6.486,3.092,D
Female,No,23.0,No,Healthcare,0.0,low,3.0,3,5.59,-0.199,5.532,2.7,D
Female,Yes,53.0,Yes,Artist,2.0,low,1.0,6,10.685,8.54,2.203,14.133,C
Male,No,33.0,Yes,Doctor,0.0,low,2.0,6,5.441,1.691,8.821,5.927,B
Female,Yes,69.0,Yes,Engineer,0.0,low,2.0,4,3.208,1.155,0.722,-0.932,B
Male,No,37.0,Yes,Artist,2.0,low,1.0,6,7.516,3.501,4.413,-1.876,B
Female,No,20.0,No,Marketing,3.0,low,4.0,7,7.967,15.619,4.124,21.899,C
Female,No,85.0,No,Lawyer,0.0,high,1.0,3,9.643,9.106,19.828,3.714,C
Female,Yes,49.0,Yes,Doctor,1.0,average,4.0,6,4.83,3.61,12.463,9.898,C
Male,No,18.0,No,Healthcare,0.0,low,3.0,3,9.163,10.068,5.392,5.718,D
Female,Yes,52.0,Yes,Doctor,0.0,average,2.0,6,16.275,6.06,5.441,4.282,C
Male,Yes,25.0,No,Doctor,2.648,average,2.0,5,-1.514,2.758,6.664,-0.546,B
Male,Yes,56.0,No,Executive,2.648,high,2.0,6,7.904,3.21,6.443,4.367,A
Female,No,35.0,No,Artist,0.0,low,3.0,6,0.896,8.292,3.169,-5.197,B
Female,No,28.0,Yes,Artist,7.0,low,3.0,6,6.136,6.042,6.939,3.071,A
Male,No,20.0,No,Healthcare,0.0,low,5.0,7,13.172,6.328,4.68,10.492,D
Female,No,27.0,No,Homemaker,8.0,low,1.0,3,14.062,3.748,6.549,3.115,D
Female,No,56.0,No,Engineer,2.648,low,1.0,6,6.627,4.668,5.245,2.93,A
Male,Yes,45.0,Yes,Artist,4.0,average,4.0,5,4.208,-0.717,1.335,-1.131,B
Male,No,25.0,Yes,Healthcare,1.0,low,4.0,4,4.598,4.304,3.257,3.865,B
Male,No,40.0,No,Marketing,1.0,low,1.0,4,10.045,3.646,5.551,6.417,D
Female,Yes,25.0,Yes,Healthcare,2.648,low,2.0,6,7.474,8.579,5.185,8.062,D
Female,Yes,74.0,No,Lawyer,2.648,high,2.0,6,5.213,5.588,6.656,8.679,D
Female,Yes,67.0,Yes,Lawyer,0.0,high,2.0,6,8.724,4.709,1.546,2.544,B
Female,No,38.0,Yes,Artist,9.0,low,1.0,3,9.258,7.704,9.411,1.738,A
Male,No,28.0,No,Healthcare,0.0,average,4.0,2,5.904,-1.298,15.489,5.484,C
Female,No,32.0,No,Healthcare,1.0,low,5.0,7,3.549,1.977,-0.871,2.908,B
Female,Yes,56.0,No,Lawyer,1.0,high,4.0,4,-1.786,2.234,-0.967,-1.295,B
Female,Yes,53.0,Yes,Artist,1.0,low,2.0,5,4.142,8.457,7.252,12.338,C
Female,Yes,59.0,Yes,Artist,0.0,average,3.0,6,13.98,3.83,17.178,8.399,C
Male,Yes,59.0,Yes,Artist,0.0,average,6.0,6,8.158,11.731,13.571,10.121,C
Female,Yes,36.0,Yes,Artist,0.0,low,4.0,6,11.711,14.032,12.466,8.755,C
Male,Yes,37.0,Yes,Entertainment,7.0,low,2.0,6,5.444,4.954,4.925,4.79,A
Male,No,22.0,No,Doctor,1.0,low,3.0,2,11.026,7.727,11.702,0.592,D
Male,Yes,43.0,Yes,Artist,1.0,low,2.0,6,6.89,5.639,1.93,0.152,B
Male,Yes,41.0,Yes,Artist,1.0,low,2.0,4,7.847,7.748,6.582,2.788,A
Female,No,21.0,No,Engineer,0.0,low,5.0,2,3.59,4.049,4.285,-1.208,B
Male,Yes,47.0,No,Artist,2.648,average,4.0,6,3.912,6.735,4.547,2.107,A
Male,Yes,70.0,Yes,Lawyer,1.0,high,3.0,6,22.974,8.251,8.01,8.435,C
Female,No,31.0,No,Engineer,1.0,average,4.0,6,6.12,1.97,1.819,4.014,B
Female,Yes,82.0,No,Lawyer,0.0,average,2.0,6,4.959,8.929,9.888,4.826,A
Female,Yes,51.0,No,Executive,2.648,low,1.0,6,5.453,3.907,5.648,6.432,A
Female,No,42.0,No,Homemaker,11.0,low,2.849,6,5.267,4.075,4.667,0.282,A
Male,No,38.0,Yes,Artist,8.0,low,3.0,2,7.06,4.969,4.162,2.629,A
Male,Yes,18.0,No,Executive,0.0,high,4.0,6,9.602,1.664,7.588,1.163,A
Male,Yes,50.0,Yes,Artist,6.0,average,3.0,6,7.01,9.85,12.446,15.195,C
Female,No,46.0,Yes,Doctor,1.0,low,2.849,3,4.522,7.114,7.296,3.885,A
Female,Yes,72.0,No,Lawyer,1.0,high,3.0,6,14.228,7.061,3.08,5.667,D
Female,No,33.0,No,Engineer,2.648,low,4.0,6,16.612,3.836,6.108,10.605,C
Female,No,25.0,No,Homemaker,1.0,low,7.0,4,4.38,3.339,6.97,-1.71,B
Female,Yes,75.0,No,Entertainment,2.0,high,2.0,2,6.361,2.554,4.148,-2.106,D
Male,No,72.0,Yes,Artist,1.0,low,1.0,6,0.495,6.244,5.554,1.202,B
Female,Yes,72.0,Yes,Artist,0.0,average,3.0,4,16.781,5.336,3.631,8.518,C
Male,Yes,36.0,Yes,Entertainment,6.0,low,6.0,4,3.417,9.953,4.484,5.441,A
Male,Yes,40.0,Yes,Artist,1.0,low,2.0,6,5.601,2.18,4.082,2.224,A
Female,No,28.0,Yes,Entertainment,0.0,low,4.0,6,11.558,7.085,10.848,-1.237,C
Female,No,28.0,Yes,Doctor,0.0,low,3.0,6,3.296,8.735,1.701,4.914,D
Male,No,19.0,No,Entertainment,0.0,high,3.0,4,12.944,1.659,4.223,-2.176,D
Male,Yes,43.0,Yes,Artist,0.0,low,2.0,4,5.184,1.653,2.573,2.509,B
Female,Yes,35.0,Yes,Artist,1.0,average,2.0,6,5.616,5.541,3.593,-2.013,B
Male,Yes,65.0,Yes,Lawyer,1.0,high,2.849,6,3.593,-2.701,5.624,2.257,B
Male,Yes,52.0,Yes,Executive,7.0,high,4.0,4,19.612,0.751,13.032,11.178,C
Female,No,40.0,Yes,Artist,1.0,low,1.0,6,7.765,1.246,6.069,-2.273,B
Female,Yes,69.0,No,Engineer,9.0,low,3.0,6,8.386,5.419,6.041,-1.005,A
Female,No,22.0,No,Healthcare,3.0,low,3.0,6,2.361,2.854,4.859,1.901,D
Male,Yes,47.0,Yes,Executive,1.0,average,4.0,6,21.505,4.078,15.052,8.189,C
Male,Yes,29.0,Yes,Marketing,1.0,high,2.0,3,5.011,5.931,3.213,4.461,A
Male,Yes,46.0,Yes,Artist,1.0,average,3.0,3,18.706,13.035,5.6,7.713,C
Male,No,32.0,Yes,Artist,1.0,low,2.0,6,3.729,5.679,2.717,0.212,A
Female,No,38.0,Yes,Healthcare,0.0,average,1.0,2,11.89,11.215,10.472,1.406,C
Male,Yes,59.0,Yes,Artist,0.0,low,1.0,6,-1.76,3.025,-0.317,-2.365,B
Female,No,26.0,Yes,Entertainment,1.0,low,1.0,6,0.441,0.524,4.568,0.295,D
Male,No,26.0,Yes,Healthcare,1.0,low,2.0,3,3.335,7.865,2.533,4.553,A
Male,No,28.0,No,Marketing,0.0,low,1.0,3,9.602,8.185,0.218,5.11,D
Female,Yes,53.0,Yes,Engineer,1.0,average,3.0,6,18.081,10.102,11.289,2.361,C
Female,No,43.0,No,Entertainment,2.648,low,1.0,6,3.64,3.878,0.059,5.94,B
Male,No,27.0,No,Doctor,1.0,low,3.0,6,8.184,0.261,9.345,2.112,D
Female,No,32.0,No,Artist,2.648,low,8.0,6,11.123,7.099,2.5,11.143,C
Male,No,26.0,No,Engineer,0.0,low,4.0,4,4.199,8.334,9.306,-3.834,D
Female,No,31.0,No,Entertainment,0.0,average,2.0,6,15.277,1.73,4.859,6.297,D
Male,Yes,39.0,Yes,Executive,1.0,high,3.0,3,0.882,1.707,3.709,-5.157,B
Female,Yes,43.0,No,Engineer,1.0,low,3.0,7,8.378,1.267,1.344,5.07,A
Male,Yes,25.0,No,Doctor,1.0,low,2.0,1,1.946,8.14,5.043,2.56,A
Male,Yes,40.0,Yes,Artist,3.0,high,3.0,6,7.065,5.449,3.208,4.303,A
Female,Yes,40.0,Yes,Entertainment,7.0,average,2.0,3,10.033,2.648,2.984,-2.068,B
Male,No,27.0,Yes,Healthcare,1.0,low,3.0,6,15.981,5.984,11.722,0.019,D
Female,No,43.47,No,Healthcare,1.0,low,2.0,6,7.497,1.583,3.459,9.835,D
