Unnamed: 0,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group,Avg_Shop,Avg_Shop_Range
57,Male,Yes,55.0,Yes,Artist,9.0,average,2.0,1.0,10.937999999999999,3.6689999999999996,9.629,3.569,C,6.9510000000000005,5-15
58,Male,Yes,74.0,Yes,Lawyer,0.0,high,3.0,6.0,15.205,6.609,-0.198,8.524,D,7.535,5-15
59,Male,Yes,56.0,Yes,Lawyer,1.0,high,2.0,6.0,6.6160000000000005,7.0,4.448,5.815,A,5.97,5-15
60,Male,Yes,59.0,Yes,Lawyer,7.0,high,2.0,6.0,4.5089999999999995,5.937,5.631,5.125,A,5.3,5-15
61,Male,No,25.0,Yes,Entertainment,0.0,low,2.0,6.0,7.757999999999999,3.136,6.526,3.4619999999999997,A,5.22,5-15
62,Male,Yes,31.0,Yes,Doctor,0.0,average,2.0,6.0,4.931,3.085,5.944,4.968999999999999,A,4.732,-5
63,Male,No,27.0,No,Artist,8.0,low,4.0,6.0,8.618,5.702000000000001,3.062,2.97,A,5.088,5-15
64,Male,Yes,57.0,Yes,Artist,0.0,average,4.0,6.0,5.281000000000001,1.565,2.7969999999999997,-0.03,B,2.403,-5
65,Female,Yes,39.0,Yes,Homemaker,1.0,high,2.0,6.0,2.193,6.689,2.148,1.4409999999999998,A,3.1180000000000003,-5
66,Male,Yes,27.0,Yes,Healthcare,8.0,low,2.0,6.0,12.898,7.534,7.336,-1.239,D,6.632000000000001,5-15
67,Female,Yes,51.0,Yes,Entertainment,8.0,average,2.0,6.0,6.95,6.082000000000001,5.2860000000000005,2.092,A,5.102,5-15
68,Female,Yes,47.0,No,Artist,0.0,average,5.0,6.0,6.301,-0.184,3.333,-4.684,B,1.1909999999999998,-5
69,Male,Yes,56.0,Yes,Artist,0.0,average,4.0,6.0,12.074000000000002,1.6869999999999998,1.594,9.625,C,6.245,5-15
70,Female,No,33.0,No,Homemaker,0.0,low,3.0,6.0,3.932,5.37,3.9219999999999997,-0.27699999999999997,B,3.237,-5
71,Female,No,36.0,Yes,Doctor,0.0,low,2.0,6.0,7.814,6.653,5.809,6.032,D,6.577000000000001,5-15
72,Male,Yes,51.0,No,Artist,4.0,low,3.0,4.0,7.722,8.068999999999999,3.514,3.842,A,5.787000000000001,5-15
73,Male,Yes,45.0,Yes,Engineer,2.0,average,2.0,6.0,17.502,10.182,14.007,7.0920000000000005,C,12.196,5-15
74,Male,No,30.0,No,Healthcare,0.0,low,4.0,6.0,4.071000000000001,7.086,10.578,6.216,C,6.9879999999999995,5-15
75,Female,No,26.0,No,Healthcare,6.0,low,3.0,5.0,6.528,6.183,6.822,8.606,D,7.035,5-15
76,Male,Yes,63.0,Yes,Artist,8.0,low,1.0,6.0,6.07,6.954,4.156000000000001,3.127,A,5.077,5-15
77,Male,Yes,35.0,No,Entertainment,8.0,average,4.0,3.0,-4.104,3.48,3.3089999999999997,2.3609999999999998,B,1.261,-5
78,Female,No,19.0,No,Marketing,1.0,low,3.0,4.0,4.167,5.204,6.193,5.992000000000001,A,5.388999999999999,5-15
79,Male,No,32.0,No,Healthcare,7.0,low,5.0,6.0,4.544,5.09,7.195,3.861,D,5.172000000000001,5-15
80,Male,Yes,52.0,Yes,Artist,0.0,average,3.0,6.0,14.148,-4.249,11.587,10.493,C,7.995,5-15
81,Female,Yes,36.0,Yes,Artist,5.0,low,2.0,6.0,6.867000000000001,8.823,-0.7290000000000001,6.178,C,5.285,5-15
82,Female,No,42.0,No,Entertainment,7.0,average,3.0,4.0,6.207000000000001,5.941,1.456,6.457000000000001,D,5.015,5-15
83,Male,Yes,40.0,No,Doctor,0.0,average,2.0,3.0,12.904000000000002,10.331,0.852,0.625,D,6.178,5-15
84,Male,No,39.0,Yes,Entertainment,0.0,low,3.0,1.0,1.51,1.161,5.879,2.1590000000000003,B,2.677,-5
85,Female,Yes,47.0,Yes,Artist,1.0,average,4.0,3.0,15.96,3.0669999999999997,1.504,6.837000000000001,C,6.8420000000000005,5-15
86,Female,Yes,61.0,Yes,Artist,1.0,high,2.0,6.0,19.345,3.736,3.472,13.312000000000001,C,9.966000000000001,5-15
87,Male,Yes,32.0,No,Entertainment,1.0,low,2.0,3.0,9.071,9.876,3.373,5.96,D,7.07,5-15
88,Male,Yes,55.0,No,Artist,0.0,low,1.0,6.0,11.117,6.57,3.945,-5.016,B,4.154,-5
89,Male,Yes,58.0,Yes,Artist,1.0,average,1.0,6.0,9.892000000000001,3.93,7.81,8.925,D,7.638999999999999,5-15
90,Male,Yes,63.0,Yes,Artist,0.0,average,2.0,6.0,13.079,10.156,8.181000000000001,14.524000000000001,C,11.485,5-15
91,Male,Yes,58.0,Yes,Doctor,1.0,average,2.0,6.0,14.849,6.204,13.800999999999998,1.0170000000000001,C,8.968,5-15
92,Male,Yes,40.0,No,Engineer,3.0,average,3.0,4.0,9.918,3.1489999999999996,4.196000000000001,4.052,D,5.329,5-15
93,Male,Yes,60.0,Yes,Artist,0.0,average,4.0,6.0,19.743,12.468,15.042,13.332,C,15.145999999999999,15+
94,Male,Yes,68.0,No,Executive,1.0,high,7.0,6.0,6.295,1.69,4.88,3.234,B,4.025,-5
95,Male,Yes,52.0,No,Artist,0.0,low,3.0,4.0,4.808,1.663,2.025,4.024,A,3.13,-5
96,Male,Yes,38.0,No,Executive,0.0,high,5.0,6.0,6.853,2.93,7.956,-0.07200000000000001,A,4.417,-5
97,Female,Yes,35.0,Yes,Healthcare,10.0,low,2.0,6.0,-2.137,2.963,6.97,3.898,B,2.923,-5
98,Male,No,18.0,No,Doctor,1.0,average,2.0,6.0,16.777,4.694,5.447,5.922000000000001,D,8.21,5-15
99,Male,Yes,30.0,Yes,Homemaker,3.0,low,2.0,1.0,8.065,1.3530000000000002,10.818,7.127999999999999,D,6.841,5-15
100,Male,No,86.0,No,Lawyer,1.0,low,1.0,6.0,3.861,2.892,3.395,10.842,D,5.247999999999999,5-15
101,Male,No,25.0,No,Healthcare,9.0,low,3.0,6.0,8.094,4.213,5.902,13.352,D,7.89,5-15
102,Male,Yes,59.0,Yes,Entertainment,1.0,low,4.0,4.0,3.594,3.2230000000000003,2.318,4.9239999999999995,A,3.515,-5
103,Female,No,39.0,Yes,Artist,0.0,low,1.0,6.0,6.9670000000000005,5.629,0.18,6.407,A,4.796,-5
104,Female,Yes,50.0,Yes,Doctor,1.0,low,3.0,6.0,2.569,6.711,7.672999999999999,1.117,B,4.518,-5
105,Male,No,47.0,Yes,Artist,1.0,average,1.0,6.0,17.8,6.375,18.923,3.4330000000000003,C,11.633,5-15
106,Male,Yes,43.0,Yes,Executive,0.0,high,3.0,6.0,0.575,7.739,6.899,6.193,D,5.352,5-15
107,Male,Yes,80.0,No,Lawyer,1.0,low,1.0,6.0,13.185,-1.284,6.303,-0.106,D,4.524,-5
108,Male,No,36.0,Yes,Artist,0.0,low,2.0,2.0,18.998,9.416,7.888999999999999,15.554,C,12.964,5-15
109,Female,Yes,37.0,Yes,Artist,1.0,high,2.0,7.0,8.529,5.452999999999999,6.61,2.1180000000000003,A,5.678,5-15
110,Male,Yes,46.0,Yes,Executive,0.0,high,3.0,6.0,9.844,7.252000000000001,5.922000000000001,5.854,C,7.218,5-15
111,Male,Yes,55.0,No,Executive,1.0,high,4.0,3.0,6.087999999999999,7.33,1.775,4.144,B,4.834,-5
112,Female,Yes,47.0,No,Engineer,9.0,average,4.0,4.0,-0.031,8.863,4.9910000000000005,1.4869999999999999,B,3.8280000000000003,-5
113,Female,No,28.0,Yes,Healthcare,1.0,low,3.0,3.0,9.154,2.1790000000000003,7.736000000000001,5.084,D,6.037999999999999,5-15
114,Male,Yes,39.0,No,Entertainment,9.0,low,2.0,3.0,13.712,8.866,11.937000000000001,4.542,D,9.764,5-15
115,Female,Yes,27.0,No,Marketing,1.0,low,2.0,6.0,5.144,3.623,5.807,4.479,A,4.763,-5
116,Female,Yes,42.0,No,Engineer,0.0,low,3.0,6.0,3.102,8.63,2.421,7.656000000000001,A,5.452000000000001,5-15
117,Male,Yes,72.0,Yes,Artist,0.0,average,2.0,6.0,4.683,8.265,13.475999999999999,2.4459999999999997,C,7.2170000000000005,5-15
118,Female,Yes,28.0,Yes,Engineer,0.0,low,2.0,6.0,1.919,6.59,7.12,5.5520000000000005,A,5.295,5-15
119,Male,No,35.0,Yes,Entertainment,8.0,low,5.0,6.0,15.957,11.164000000000001,10.212,4.048,C,10.345,5-15
120,Male,Yes,39.0,Yes,Executive,9.0,average,5.0,2.0,5.164,4.57,5.064,2.033,A,4.208,-5
121,Female,Yes,69.0,Yes,Lawyer,0.0,high,2.0,6.0,14.085,10.106,9.181000000000001,4.441,C,9.453,5-15
122,Male,No,18.0,No,Healthcare,6.0,low,3.0,4.0,5.5760000000000005,8.209,4.512,1.435,D,4.933,-5
123,Male,Yes,46.0,Yes,Artist,1.0,low,1.0,6.0,7.419,6.8229999999999995,4.828,2.495,A,5.391,5-15
124,Female,Yes,50.0,Yes,Engineer,1.0,high,2.0,4.0,9.466000000000001,-0.295,-0.193,0.688,B,2.417,-5
125,Male,No,30.0,No,Executive,5.0,low,5.0,6.0,5.757999999999999,4.975,3.65,4.571000000000001,A,4.738,-5
126,Female,No,41.0,No,Artist,1.0,low,2.0,6.0,5.947,0.20800000000000002,1.57,-2.641,B,1.271,-5
127,Female,No,39.0,Yes,Artist,3.0,low,4.0,6.0,6.09,4.97,0.789,9.931000000000001,D,5.445,5-15
128,Female,No,29.0,No,Marketing,8.0,low,4.0,6.0,-1.8219999999999998,-2.1519999999999997,6.571000000000001,7.11,D,2.427,-5
129,Female,Yes,37.0,Yes,Artist,4.0,low,4.0,5.0,1.993,-2.123,4.4639999999999995,3.195,B,1.882,-5
130,Female,Yes,39.0,Yes,Engineer,0.0,average,2.0,6.0,8.797,6.024,6.98,1.276,A,5.769,5-15
131,Female,Yes,48.0,Yes,Artist,0.0,average,5.0,7.0,15.383,7.757999999999999,13.265,11.411,C,11.954,5-15
132,Female,No,32.0,Yes,Doctor,0.0,low,3.0,6.0,9.414,3.735,7.615,15.709000000000001,C,9.118,5-15
133,Male,Yes,78.0,No,Lawyer,1.0,low,3.0,6.0,0.263,3.542,2.47,-1.4069999999999998,B,1.217,-5
134,Female,Yes,43.0,No,Engineer,0.0,average,5.0,4.0,2.208,4.5089999999999995,5.272,-6.007999999999999,B,1.495,-5
135,Male,No,29.0,No,Marketing,8.0,low,5.0,6.0,7.4479999999999995,-0.767,6.754,0.877,C,3.5780000000000003,-5
136,Female,Yes,28.0,No,Engineer,9.0,average,2.0,4.0,7.443,3.84,3.1630000000000003,4.749,A,4.7989999999999995,-5
137,Male,Yes,80.0,Yes,Lawyer,1.0,low,1.0,6.0,2.124,5.428,4.425,7.362,B,4.835,-5
138,Female,No,28.0,Yes,Healthcare,7.0,low,4.0,6.0,7.292999999999999,13.495,6.652,10.815,D,9.564,5-15
139,Male,Yes,71.0,Yes,Artist,6.0,average,3.0,6.0,16.392,8.517000000000001,9.051,12.52,C,11.62,5-15
140,Male,Yes,67.0,No,Lawyer,0.0,high,9.0,4.0,5.725,3.6860000000000004,3.3939999999999997,8.247,A,5.263,5-15
141,Female,No,26.0,No,Engineer,0.0,average,1.0,2.0,7.433,2.384,4.133,8.61,A,5.64,5-15
142,Female,Yes,43.0,Yes,Artist,2.0,average,2.0,6.0,2.943,0.568,1.8,2.194,B,1.876,-5
143,Female,No,27.0,Yes,Healthcare,0.0,low,4.0,6.0,12.157,12.468,9.943999999999999,9.318999999999999,C,10.972000000000001,5-15
144,Female,Yes,45.0,Yes,Marketing,8.0,low,4.0,6.0,8.067,1.964,9.354,12.437000000000001,D,7.956,5-15
145,Male,Yes,76.0,No,Executive,1.0,low,1.0,6.0,15.939,10.335999999999999,12.402000000000001,10.425,C,12.276,5-15
146,Female,Yes,43.0,Yes,Artist,3.0,average,4.0,6.0,7.692,8.957,4.877,8.509,C,7.5089999999999995,5-15
147,Female,Yes,78.0,Yes,Lawyer,1.0,high,2.0,6.0,2.015,1.226,-0.303,0.35200000000000004,B,0.8220000000000001,-5
148,Male,Yes,35.0,Yes,Artist,3.0,average,3.0,6.0,5.7170000000000005,5.026,6.774,11.074000000000002,C,7.148,5-15
149,Female,No,49.0,Yes,Artist,1.0,low,1.0,6.0,16.741,5.038,13.161,9.597000000000001,C,11.134,5-15
150,Female,No,25.0,Yes,Healthcare,1.0,low,5.0,6.0,2.87,0.371,2.339,4.375,D,2.489,-5
151,Male,Yes,37.0,No,Executive,0.0,average,5.0,6.0,3.7430000000000003,3.387,6.257999999999999,3.511,A,4.225,-5
152,Male,Yes,60.0,Yes,Doctor,0.0,average,2.0,6.0,19.992,4.298,9.299,14.824000000000002,C,12.103,5-15
153,Female,Yes,45.0,Yes,Artist,5.0,average,3.0,6.0,11.46,1.9509999999999998,12.842,10.679,C,9.232999999999999,5-15
154,Female,Yes,49.0,Yes,Homemaker,9.0,average,3.0,6.0,12.772,5.018,2.495,17.539,C,9.456,5-15
155,Male,No,32.0,Yes,Artist,0.0,low,5.0,6.0,4.122,-0.991,8.064,7.532,D,4.6819999999999995,-5
156,Female,Yes,40.0,Yes,Artist,0.0,low,3.0,3.0,0.32899999999999996,2.355,6.877999999999999,-3.063,B,1.625,-5
157,Male,Yes,59.0,No,Artist,2.0,average,2.0,4.0,14.679,5.303,12.662,6.746,C,9.847999999999999,5-15
158,Male,Yes,48.0,Yes,Artist,3.0,low,5.0,6.0,1.2890000000000001,3.841,7.12,5.749,B,4.5,-5
159,Male,Yes,82.0,Yes,Executive,0.0,high,2.0,6.0,14.87,1.575,10.105,2.491,C,7.26,5-15
160,Female,Yes,70.0,Yes,Lawyer,0.0,low,2.0,6.0,5.058,5.16,1.195,3.4219999999999997,B,3.7089999999999996,-5
161,Male,No,31.0,Yes,Artist,5.0,low,2.0,6.0,1.807,-0.35100000000000003,12.548,-2.75,B,2.8139999999999996,-5
162,Female,Yes,72.0,Yes,Lawyer,0.0,high,2.0,6.0,11.162,9.687000000000001,13.207,8.469,C,10.630999999999998,5-15
163,Male,Yes,50.0,Yes,Artist,3.0,average,4.0,6.0,12.885,6.441,8.717,6.218999999999999,C,8.566,5-15
164,Female,No,23.0,No,Engineer,11.0,low,1.0,3.0,11.964,4.485,0.55,-1.455,D,3.886,-5
165,Female,No,20.0,No,Healthcare,2.0,low,6.0,6.0,7.065,2.7030000000000003,3.468,5.337000000000001,D,4.643,-5
166,Female,No,22.0,No,Healthcare,4.0,low,3.0,6.0,7.1,3.67,3.694,0.09300000000000001,D,3.639,-5
167,Female,No,31.0,Yes,Engineer,8.0,average,1.0,6.0,5.97,6.784,3.045,2.226,A,4.506,-5
168,Female,Yes,36.0,Yes,Artist,7.0,average,2.0,6.0,12.120999999999999,8.097999999999999,11.097000000000001,3.905,C,8.805,5-15
169,Male,Yes,52.0,No,Entertainment,1.0,average,5.0,4.0,8.453,4.968999999999999,9.974,-3.2880000000000003,B,5.027,5-15
170,Female,No,29.0,Yes,Artist,1.0,low,1.0,4.0,5.242000000000001,4.7010000000000005,3.287,-3.8489999999999998,B,2.345,-5
171,Male,Yes,40.0,Yes,Artist,4.0,average,4.0,6.0,18.093,0.14400000000000002,7.145,12.193,C,9.394,5-15
172,Female,No,40.0,Yes,Artist,1.0,low,1.0,6.0,3.595,8.527000000000001,2.051,3.2560000000000002,A,4.357,-5
173,Male,Yes,38.0,Yes,Artist,1.0,low,2.0,6.0,14.25,10.904000000000002,18.491,4.635,C,12.07,5-15
174,Female,No,21.0,No,Doctor,1.0,low,3.0,7.0,6.506,7.318,1.3619999999999999,5.638,A,5.206,5-15
175,Female,Yes,41.0,No,Engineer,4.0,average,2.0,6.0,11.454,5.763999999999999,5.692,0.9590000000000001,D,5.9670000000000005,5-15
176,Male,Yes,40.0,Yes,Artist,0.0,low,2.0,6.0,0.20199999999999999,1.4169999999999998,1.3730000000000002,3.248,B,1.56,-5
177,Male,Yes,53.0,Yes,Artist,1.0,average,3.0,6.0,7.2860000000000005,3.892,4.965,-0.425,B,3.93,-5
178,Female,Yes,42.0,Yes,Artist,5.0,low,2.0,6.0,10.294,5.856,13.76,-0.8170000000000001,C,7.273,5-15
179,Male,Yes,42.0,No,Executive,8.0,low,2.0,6.0,6.848,-2.155,7.768,2.8339999999999996,D,3.824,-5
180,Male,Yes,48.0,Yes,Artist,1.0,average,4.0,7.0,13.912,11.249,11.987,7.861000000000001,C,11.252,5-15
181,Male,Yes,59.0,Yes,Artist,7.0,low,2.0,6.0,10.579,-0.319,4.257,6.135,C,5.162999999999999,5-15
182,Male,Yes,41.0,Yes,Executive,1.0,average,3.0,6.0,7.731,4.376,7.632000000000001,2.3369999999999997,A,5.519,5-15
183,Female,Yes,31.0,Yes,Artist,0.0,average,2.0,6.0,7.422000000000001,3.367,8.387,-0.311,A,4.716,-5
184,Female,Yes,49.0,Yes,Artist,1.0,high,5.0,6.0,2.525,5.053999999999999,-0.13699999999999998,3.1689999999999996,B,2.653,-5
185,Male,Yes,67.0,Yes,Executive,1.0,low,2.0,6.0,5.9910000000000005,3.511,6.381,8.827,A,6.178,5-15
186,Male,Yes,35.0,No,Artist,4.0,average,2.0,6.0,0.997,2.7510000000000003,-4.875,-0.013000000000000001,B,-0.285,-5
187,Female,Yes,25.0,No,Engineer,6.0,average,8.0,4.0,5.4670000000000005,3.188,10.2,3.0380000000000003,D,5.473,5-15
188,Female,Yes,39.0,Yes,Healthcare,4.0,low,2.0,6.0,9.183,6.09,6.933,5.417000000000001,A,6.906000000000001,5-15
189,Male,Yes,63.0,Yes,Entertainment,0.0,low,2.0,6.0,3.912,3.65,4.461,0.8029999999999999,A,3.2060000000000004,-5
190,Male,No,40.0,No,Healthcare,8.0,low,3.0,6.0,9.805,6.629,6.486000000000001,3.092,D,6.502999999999999,5-15
191,Female,No,23.0,No,Healthcare,0.0,low,3.0,3.0,5.59,-0.19899999999999998,5.532,2.7,D,3.406,-5
192,Female,Yes,53.0,Yes,Artist,2.0,low,1.0,6.0,10.685,8.54,2.2030000000000003,14.133,C,8.89,5-15
193,Male,No,33.0,Yes,Doctor,0.0,low,2.0,6.0,5.441,1.6909999999999998,8.821,5.9270000000000005,B,5.47,5-15
194,Female,Yes,69.0,Yes,Engineer,0.0,low,2.0,4.0,3.208,1.155,0.722,-0.932,B,1.038,-5
195,Male,No,37.0,Yes,Artist,2.0,low,1.0,6.0,7.516,3.5010000000000003,4.413,-1.876,B,3.388,-5
196,Female,No,20.0,No,Marketing,3.0,low,4.0,7.0,7.9670000000000005,15.619000000000002,4.124,21.899,C,12.402000000000001,5-15
197,Female,Yes,49.0,Yes,Doctor,1.0,average,4.0,6.0,4.83,3.61,12.463,9.898,C,7.7,5-15
198,Male,No,18.0,No,Healthcare,0.0,low,3.0,3.0,9.163,10.068,5.392,5.718,D,7.585,5-15
199,Female,Yes,52.0,Yes,Doctor,0.0,average,2.0,6.0,16.275,6.06,5.441,4.282,C,8.014,5-15
200,Male,Yes,25.0,No,Doctor,1.0,average,2.0,6.0,-1.514,2.758,6.664,-0.546,B,1.84,-5
201,Male,Yes,56.0,No,Executive,1.0,high,2.0,6.0,7.904,3.21,6.443,4.367,A,5.481,5-15
202,Female,No,28.0,Yes,Artist,7.0,low,3.0,6.0,6.136,6.042000000000001,6.939,3.071,A,5.547000000000001,5-15
203,Male,No,20.0,No,Healthcare,0.0,low,5.0,7.0,13.172,6.327999999999999,4.68,10.492,D,8.668,5-15
204,Female,No,27.0,No,Homemaker,8.0,low,1.0,3.0,14.062000000000001,3.748,6.5489999999999995,3.115,D,6.869,5-15
205,Female,No,56.0,No,Engineer,1.0,low,1.0,6.0,6.627000000000001,4.668,5.245,2.93,A,4.868,-5
206,Male,Yes,45.0,Yes,Artist,4.0,average,4.0,6.0,4.208,-0.7170000000000001,1.335,-1.131,B,0.924,-5
207,Male,No,25.0,Yes,Healthcare,1.0,low,4.0,4.0,4.598,4.303999999999999,3.2569999999999997,3.865,B,4.006,-5
