ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
465083.0,Male,Yes,56.0,No,Artist,1.0,Average,3.0,6.0,20.129,10.461,9.783,4.437,C
467604.0,Male,No,31.0,No,Healthcare,9.0,Low,8.0,4.0,9.208,3.817,1.224,3.865,A
459717.0,Male,Yes,49.0,Yes,Artist,1.0,Average,3.0,6.0,9.114,9.325,15.803,13.83,C
465882.0,Male,No,35.0,Yes,Artist,0.0,average,1.0,,3.294,0.868,1.761,4.754,B
461996.0,Female,No,35.0,No,Artist,5.0,average,4.0,6.0,6.06,5.745,6.643,10.377,C
463331.0,Female,Yes,45.0,Yes,Artist,0.0,Low,3.0,6.0,8.48,12.193,6.167,6.863,C
462216.0,Female,Yes,42.0,No,Doctor,1.0,Low,2.0,4.0,5.034,6.717,4.985,2.783,A
462454.0,Male,No,19.0,No,Healthcare,1.0,Low,3.0,2.0,6.275,5.928,5.155,3.425,D
467010.0,Male,No,26.0,No,Homemaker,9.0,Low,,6.0,11.682,0.071,0.342,3.04,D
459861.0,Female,Yes,83.0,No,Lawyer,1.0,High,2.0,6.0,5.114,7.542,7.068,1.717,D
467917.0,Female,No,27.0,Yes,Healthcare,3.0,Low,4.0,1.0,14.349,9.643,1.79,5.995,D
465572.0,Male,No,32.0,No,Doctor,5.0,Low,,4.0,6.94,11.151,7.382,3.274,D
460593.0,Female,Yes,28.0,No,Healthcare,1.0,Average,5.0,3.0,8.193,6.278,9.816,7.59,D
465891.0,Female,Yes,28.0,Yes,Artist,8.0,average,2.0,6.0,6.666,3.748,2.603,3.566,A
467442.0,Male,Yes,56.0,Yes,Artist,,Average,2.0,6.0,8.466,-0.717,10.577,11.84,C
462044.0,Female,No,47.0,Yes,Artist,4.0,Low,1.0,6.0,8.848,1.323,6.738,3.656,B
465686.0,Female,No,22.0,No,Healthcare,0.0,average,2.0,6.0,10.324,0.992,7.969,-3.01,D
464590.0,Female,No,,Yes,Artist,14.0,average,3.0,6.0,4.586,2.68,6.248,5.511,A
466006.0,Female,Yes,49.0,Yes,Artist,1.0,Low,2.0,0.0,10.835,13.175,7.61,5.932,C
466152.0,Male,Yes,40.0,No,Engineer,8.0,Low,1.0,6.0,6.767,4.562,5.323,1.442,A
463156.0,Female,Yes,79.0,No,Lawyer,,High,2.0,6.0,4.312,5.074,11.035,3.649,A
465729.0,Male,Yes,41.0,Yes,Artist,0.0,average,4.0,4.0,-0.02,1.409,6.702,0.087,B
462384.0,Female,No,29.0,Yes,Healthcare,,average,1.0,7.0,8.87,9.701,7.17,1.537,A
462442.0,Male,No,19.0,No,Healthcare,0.0,Low,4.0,6.0,8.956,5.129,4.811,-1.508,D
464191.0,Female,No,45.0,Yes,Engineer,1.0,Low,1.0,6.0,7.844,4.147,7.678,4.966,A
462078.0,Female,Yes,61.0,No,Artist,1.0,Average,2.0,2.0,2.127,2.819,6.584,-0.976,B
467873.0,Female,Yes,36.0,Yes,Artist,1.0,Average,2.0,6.0,11.456,-0.617,14.174,14.674,C
461270.0,Male,Yes,40.0,Yes,Artist,1.0,Low,1.0,3.0,7.416,2.59,3.766,3.851,A
,Female,Yes,57.0,Yes,Entertainment,0.0,Average,2.0,6.0,20.154,14.844,6.98,17.265,C
464961.0,Male,Yes,76.0,No,Marketing,1.0,Low,1.0,4.0,9.723,9.239,8.231,7.328,A
462110.0,Male,Yes,32.0,Yes,Artist,14.0,Average,2.0,6.0,6.228,8.306,5.555,-0.894,B
465769.0,Male,No,25.0,Yes,Healthcare,9.0,Low,4.0,6.0,7.773,7.957,0.025,4.671,D
462267.0,Male,No,32.0,,Doctor,8.0,Low,2.0,6.0,9.623,7.427,8.043,6.12,D
465269.0,Female,Yes,45.0,Yes,Artist,1.0,average,3.0,3.0,16.795,8.53,11.225,10.39,C
460881.0,Male,Yes,72.0,Yes,Lawyer,1.0,Low,,4.0,5.917,-1.877,8.799,1.615,D
461891.0,Male,Yes,48.0,Yes,Artist,0.0,Average,2.0,6.0,14.929,14.037,18.159,7.008,C
466935.0,Male,Yes,55.0,Yes,Artist,9.0,Average,2.0,1.0,10.938,3.669,9.629,3.569,C
464091.0,Male,Yes,74.0,Yes,Lawyer,0.0,High,3.0,6.0,15.205,6.609,-0.198,8.524,D
464535.0,Male,Yes,56.0,Yes,Lawyer,1.0,High,2.0,6.0,6.616,7.0,4.448,5.815,A
463108.0,Male,Yes,59.0,Yes,Lawyer,7.0,High,2.0,6.0,4.509,5.937,5.631,5.125,A
461356.0,Male,No,25.0,Yes,Entertainment,0.0,Low,2.0,6.0,7.758,3.136,6.526,3.462,A
464570.0,Male,Yes,31.0,Yes,Doctor,0.0,Average,2.0,6.0,4.931,3.085,5.944,4.969,A
464580.0,Male,No,27.0,No,Artist,8.0,Low,4.0,6.0,8.618,5.702,3.062,2.97,A
465233.0,Male,Yes,57.0,Yes,Artist,0.0,Average,4.0,6.0,5.281,1.565,2.797,-0.03,B
467208.0,Female,Yes,39.0,Yes,Homemaker,,High,2.0,6.0,2.193,6.689,2.148,1.441,A
459954.0,Male,Yes,27.0,Yes,Healthcare,8.0,Low,2.0,6.0,12.898,7.534,7.336,-1.239,D
460219.0,Female,Yes,51.0,Yes,Entertainment,8.0,Average,2.0,6.0,6.95,6.082,5.286,2.092,A
,Female,Yes,47.0,No,Artist,0.0,Average,5.0,6.0,6.301,-0.184,3.333,-4.684,B
460191.0,Female,No,33.0,No,Healthcare,8.0,Low,4.0,,,9.793,0.83,10.688,D
463742.0,Male,Yes,56.0,Yes,Artist,0.0,Average,4.0,6.0,12.074,1.687,1.594,9.625,C
463691.0,Female,No,33.0,No,Homemaker,0.0,Low,3.0,6.0,3.932,5.37,3.922,-0.277,B
463250.0,Female,No,36.0,Yes,Doctor,0.0,Low,2.0,6.0,7.814,6.653,5.809,6.032,D
463952.0,Male,Yes,51.0,No,Artist,4.0,Low,3.0,4.0,7.722,8.069,3.514,3.842,A
461558.0,Male,Yes,45.0,Yes,Engineer,2.0,Average,2.0,6.0,17.502,10.182,14.007,7.092,C
466567.0,Female,No,49.0,Yes,,1.0,average,1.0,6.0,9.291,5.55,7.278,2.371,D
465379.0,Male,No,30.0,No,Healthcare,0.0,Low,4.0,6.0,4.071,7.086,10.578,6.216,C
,Female,No,26.0,No,Healthcare,6.0,Low,3.0,5.0,6.528,6.183,6.822,8.606,D
466938.0,Male,Yes,63.0,Yes,Artist,8.0,Low,1.0,6.0,6.07,6.954,4.156,3.127,A
460671.0,Male,Yes,35.0,No,Entertainment,8.0,average,4.0,3.0,-4.104,3.48,3.309,2.361,B
462204.0,Female,No,19.0,No,Marketing,1.0,Low,3.0,4.0,4.167,5.204,6.193,5.992,A
461671.0,Male,No,32.0,No,Healthcare,7.0,Low,5.0,6.0,4.544,5.09,7.195,3.861,D
459384.0,Male,Yes,52.0,Yes,Artist,0.0,average,3.0,6.0,14.148,-4.249,11.587,10.493,C
459905.0,Female,Yes,36.0,Yes,Artist,5.0,Low,2.0,6.0,6.867,8.823,-0.729,6.178,C
464734.0,Female,No,42.0,No,Entertainment,7.0,average,3.0,4.0,6.207,5.941,1.456,6.457,D
464125.0,Male,Yes,,No,Doctor,0.0,average,2.0,3.0,12.904,10.331,0.852,0.625,D
467434.0,Male,No,39.0,Yes,Entertainment,0.0,Low,3.0,1.0,1.51,1.161,5.879,2.159,B
460956.0,Female,Yes,47.0,Yes,Artist,1.0,average,4.0,3.0,15.96,3.067,1.504,6.837,C
465179.0,Female,Yes,61.0,Yes,Artist,1.0,High,2.0,6.0,19.345,3.736,3.472,13.312,C
463338.0,Male,Yes,32.0,No,Entertainment,1.0,Low,2.0,3.0,9.071,9.876,3.373,5.96,D
467066.0,Male,Yes,55.0,No,Artist,0.0,Low,1.0,6.0,11.117,6.57,3.945,-5.016,B
463845.0,Male,Yes,58.0,Yes,Artist,,Average,1.0,6.0,9.892,3.93,7.81,8.925,D
459976.0,Female,No,38.0,Yes,,0.0,Low,1.0,6.0,10.938,7.33,-1.465,-5.168,D
461334.0,Male,Yes,63.0,Yes,Artist,0.0,average,2.0,6.0,13.079,10.156,8.181,14.524,C
465108.0,Male,Yes,58.0,Yes,Doctor,1.0,Average,2.0,6.0,14.849,6.204,13.801,1.017,C
462600.0,Male,Yes,,No,Engineer,3.0,Average,3.0,4.0,9.918,3.149,4.196,4.052,D
464144.0,Male,Yes,60.0,Yes,Artist,0.0,Average,4.0,6.0,19.743,12.468,15.042,13.332,C
466911.0,Male,Yes,68.0,No,Executive,1.0,High,7.0,6.0,6.295,1.69,4.88,3.234,B
462806.0,Male,Yes,52.0,No,Artist,0.0,Low,3.0,4.0,4.808,1.663,2.025,4.024,A
463426.0,Male,Yes,38.0,No,Executive,0.0,High,5.0,6.0,6.853,2.93,7.956,-0.072,A
464065.0,Female,Yes,35.0,Yes,Healthcare,10.0,Low,2.0,6.0,-2.137,2.963,6.97,3.898,B
462979.0,Male,No,18.0,No,Doctor,1.0,average,2.0,6.0,16.777,4.694,5.447,5.922,D
462834.0,Male,Yes,30.0,Yes,Homemaker,3.0,Low,2.0,1.0,8.065,1.353,10.818,7.128,D
460764.0,Male,No,86.0,No,Lawyer,1.0,Low,1.0,6.0,3.861,2.892,3.395,10.842,D
466466.0,Female,,19.0,No,Healthcare,6.0,Low,,3.0,12.914,2.074,4.626,4.709,D
460185.0,Male,No,25.0,No,Healthcare,9.0,Low,3.0,6.0,8.094,4.213,5.902,13.352,D
459749.0,Male,Yes,59.0,Yes,Entertainment,,Low,4.0,4.0,3.594,3.223,2.318,4.924,A
464406.0,Female,No,39.0,Yes,Artist,0.0,Low,1.0,6.0,6.967,5.629,0.18,6.407,A
467758.0,Female,Yes,50.0,Yes,Doctor,1.0,Low,,6.0,2.569,6.711,7.673,1.117,B
462059.0,Male,No,47.0,Yes,Artist,1.0,average,1.0,6.0,17.8,6.375,18.923,3.433,C
467905.0,Male,Yes,43.0,Yes,Executive,0.0,High,3.0,6.0,0.575,7.739,6.899,6.193,D
461177.0,Male,Yes,36.0,No,,8.0,Average,4.0,1.0,2.518,7.859,0.585,0.508,B
460765.0,Male,Yes,80.0,No,Lawyer,1.0,Low,1.0,6.0,13.185,-1.284,6.303,-0.106,D
465386.0,Male,No,36.0,Yes,Artist,0.0,Low,2.0,2.0,18.998,9.416,7.889,15.554,C
465827.0,Male,No,27.0,No,,2.0,Low,7.0,4.0,12.491,6.006,2.35,1.603,D
462332.0,Female,Yes,37.0,Yes,Artist,1.0,High,2.0,7.0,8.529,5.453,6.61,2.118,A
,Male,Yes,46.0,Yes,Executive,0.0,High,3.0,6.0,9.844,7.252,5.922,5.854,C
461011.0,Male,Yes,55.0,No,Executive,1.0,High,4.0,3.0,6.088,7.33,1.775,4.144,B
464749.0,Female,Yes,47.0,No,Engineer,9.0,Average,4.0,4.0,-0.031,8.863,4.991,1.487,B
461094.0,Female,No,28.0,Yes,Healthcare,1.0,Low,3.0,3.0,9.154,2.179,7.736,5.084,D
462104.0,Male,Yes,39.0,No,Entertainment,9.0,Low,2.0,3.0,13.712,8.866,11.937,4.542,D
464524.0,Female,Yes,27.0,No,Marketing,1.0,Low,2.0,6.0,5.144,3.623,5.807,4.479,A
466295.0,Female,Yes,42.0,No,Engineer,0.0,Low,,6.0,3.102,8.63,2.421,7.656,A
461787.0,Male,Yes,72.0,Yes,Artist,0.0,Average,2.0,6.0,4.683,8.265,13.476,2.446,C
467857.0,Female,Yes,28.0,Yes,Engineer,0.0,Low,2.0,6.0,1.919,6.59,7.12,5.552,A
460153.0,Male,No,35.0,Yes,Entertainment,8.0,Low,5.0,6.0,15.957,11.164,10.212,4.048,C
465215.0,Male,Yes,39.0,Yes,Executive,9.0,average,5.0,2.0,5.164,4.57,5.064,2.033,A
466746.0,Female,Yes,69.0,Yes,Lawyer,0.0,High,2.0,6.0,14.085,10.106,9.181,4.441,C
464857.0,Male,No,18.0,No,Healthcare,6.0,Low,,4.0,5.576,8.209,4.512,1.435,D
459478.0,Male,Yes,46.0,Yes,Artist,,Low,1.0,6.0,7.419,6.823,4.828,2.495,A
460723.0,Female,Yes,50.0,Yes,Engineer,1.0,High,2.0,4.0,9.466,-0.295,-0.193,0.688,B
459853.0,Male,No,30.0,No,Executive,5.0,Low,5.0,6.0,5.758,4.975,3.65,4.571,A
459390.0,Female,No,41.0,No,Artist,,Low,2.0,6.0,5.947,0.208,1.57,-2.641,B
460410.0,Female,No,39.0,Yes,Artist,3.0,Low,4.0,6.0,6.09,4.97,0.789,9.931,D
463823.0,Female,No,29.0,No,Marketing,8.0,Low,4.0,6.0,-1.822,-2.152,6.571,7.11,D
462008.0,Female,Yes,37.0,Yes,Artist,4.0,Low,4.0,5.0,1.993,-2.123,4.464,3.195,B
459750.0,Female,Yes,39.0,Yes,Engineer,0.0,Average,2.0,,8.797,6.024,6.98,1.276,A
459880.0,Female,Yes,48.0,Yes,Artist,0.0,Average,5.0,7.0,15.383,7.758,13.265,11.411,C
459261.0,Female,No,32.0,Yes,Doctor,0.0,Low,3.0,6.0,9.414,3.735,7.615,15.709,C
465656.0,Male,Yes,78.0,No,Lawyer,1.0,Low,,6.0,0.263,3.542,2.47,-1.407,B
465395.0,Female,Yes,43.0,No,Engineer,0.0,Average,5.0,4.0,2.208,4.509,5.272,-6.008,B
461631.0,Male,No,29.0,No,Marketing,8.0,Low,5.0,6.0,7.448,-0.767,6.754,0.877,C
,Female,Yes,28.0,No,Engineer,9.0,Average,2.0,4.0,7.443,3.84,3.163,4.749,A
461740.0,Male,Yes,80.0,Yes,Lawyer,1.0,Low,1.0,6.0,2.124,5.428,4.425,7.362,B
,Female,No,28.0,Yes,Healthcare,7.0,Low,4.0,6.0,7.293,13.495,6.652,10.815,D
464173.0,Male,Yes,71.0,Yes,Artist,6.0,Average,3.0,6.0,16.392,8.517,9.051,12.52,C
464972.0,Male,Yes,67.0,No,Lawyer,0.0,High,9.0,4.0,5.725,3.686,3.394,8.247,A
467959.0,Female,No,26.0,No,Engineer,0.0,average,1.0,2.0,7.433,2.384,4.133,8.61,A
467688.0,Female,Yes,47.0,Yes,Engineer,0.0,Average,2.0,6.0,,9.283,13.591,8.143,C
460043.0,Female,Yes,43.0,Yes,Artist,2.0,Average,2.0,6.0,2.943,0.568,1.8,2.194,B
466590.0,Female,No,27.0,Yes,Healthcare,0.0,Low,4.0,6.0,12.157,12.468,9.944,9.319,C
461191.0,Female,Yes,45.0,Yes,Marketing,8.0,Low,4.0,6.0,8.067,1.964,9.354,12.437,D
465662.0,Male,Yes,76.0,No,Executive,1.0,Low,1.0,6.0,15.939,10.336,12.402,10.425,C
459231.0,Female,Yes,43.0,Yes,Artist,3.0,Average,4.0,6.0,7.692,8.957,4.877,8.509,C
466495.0,Female,Yes,78.0,Yes,Lawyer,1.0,High,2.0,6.0,2.015,1.226,-0.303,0.352,B
459192.0,Male,Yes,35.0,Yes,Artist,3.0,Average,3.0,,5.717,5.026,6.774,11.074,C
465710.0,Female,No,49.0,Yes,Artist,1.0,Low,1.0,6.0,16.741,5.038,13.161,9.597,C
460258.0,Female,No,25.0,Yes,Healthcare,1.0,Low,5.0,,2.87,0.371,2.339,4.375,D
462813.0,Male,Yes,37.0,No,Executive,0.0,average,5.0,6.0,3.743,3.387,6.258,3.511,A
463595.0,Female,No,32.0,No,Healthcare,1.0,Low,5.0,0.0,13.725,9.029,9.038,8.43,C
467768.0,Male,Yes,60.0,Yes,Doctor,0.0,Average,2.0,6.0,19.992,4.298,9.299,14.824,C
465291.0,Female,Yes,45.0,Yes,Artist,5.0,Average,3.0,6.0,11.46,1.951,12.842,10.679,C
462996.0,Female,Yes,49.0,Yes,Homemaker,9.0,Average,3.0,6.0,12.772,5.018,2.495,17.539,C
463497.0,Male,No,32.0,Yes,Artist,0.0,Low,5.0,6.0,4.122,-0.991,8.064,7.532,D
465301.0,Female,Yes,40.0,Yes,Artist,0.0,Low,3.0,3.0,0.329,2.355,6.878,-3.063,B
464702.0,Male,Yes,59.0,No,Artist,2.0,average,2.0,4.0,14.679,5.303,12.662,6.746,C
459012.0,Male,Yes,48.0,Yes,Artist,3.0,Low,5.0,6.0,1.289,3.841,7.12,5.749,B
465053.0,Male,Yes,82.0,Yes,Executive,0.0,High,2.0,6.0,14.87,1.575,10.105,2.491,C
459420.0,Female,Yes,70.0,Yes,Lawyer,0.0,Low,2.0,6.0,5.058,5.16,1.195,3.422,B
464166.0,Male,No,31.0,Yes,Artist,5.0,Low,2.0,6.0,1.807,-0.351,12.548,-2.75,B
458987.0,Female,Yes,72.0,Yes,Lawyer,0.0,High,2.0,6.0,11.162,9.687,13.207,8.469,C
467745.0,Male,Yes,50.0,Yes,Artist,3.0,Average,4.0,6.0,12.885,6.441,8.717,6.219,C
464866.0,Female,No,23.0,No,Engineer,11.0,Low,1.0,3.0,11.964,4.485,0.55,-1.455,D
461081.0,Female,No,20.0,No,Healthcare,2.0,Low,6.0,6.0,7.065,2.703,3.468,5.337,D
467896.0,Female,No,22.0,No,Healthcare,4.0,Low,3.0,6.0,7.1,3.67,3.694,0.093,D
463991.0,Female,No,31.0,Yes,Engineer,8.0,average,1.0,6.0,5.97,6.784,3.045,2.226,A
466620.0,Female,Yes,36.0,Yes,Artist,7.0,Average,2.0,,12.121,8.098,11.097,3.905,C
462594.0,Male,Yes,52.0,No,Entertainment,,Average,5.0,4.0,8.453,4.969,9.974,-3.288,B
462206.0,Female,No,29.0,Yes,Artist,,Low,1.0,4.0,5.242,4.701,3.287,-3.849,B
460697.0,Male,Yes,40.0,Yes,Artist,4.0,Average,4.0,6.0,18.093,0.144,7.145,12.193,C
467934.0,Female,No,40.0,Yes,Artist,1.0,Low,1.0,6.0,3.595,8.527,2.051,3.256,A
460054.0,Male,Yes,38.0,Yes,Artist,,Low,2.0,6.0,14.25,10.904,18.491,4.635,C
459576.0,Female,Yes,85.0,No,Lawyer,,Low,,0.0,4.947,5.614,3.64,2.976,A
467910.0,Female,No,21.0,No,Doctor,1.0,Low,3.0,7.0,6.506,7.318,1.362,5.638,A
467335.0,Female,Yes,41.0,No,Engineer,4.0,Average,2.0,6.0,11.454,5.764,5.692,0.959,D
,Male,Yes,40.0,Yes,Artist,0.0,Low,2.0,6.0,0.202,1.417,1.373,3.248,B
459340.0,Male,Yes,53.0,Yes,Artist,1.0,Average,3.0,6.0,7.286,3.892,4.965,-0.425,B
465622.0,Female,Yes,42.0,Yes,Artist,5.0,Low,2.0,6.0,10.294,5.856,13.76,-0.817,C
459395.0,Male,Yes,42.0,No,Executive,8.0,Low,2.0,6.0,6.848,-2.155,7.768,2.834,D
467539.0,Male,Yes,48.0,Yes,Artist,,Average,4.0,7.0,13.912,11.249,11.987,7.861,C
466574.0,Male,Yes,59.0,Yes,Artist,7.0,Low,2.0,6.0,10.579,-0.319,4.257,6.135,C
466544.0,Male,Yes,41.0,Yes,Executive,1.0,Average,3.0,6.0,7.731,4.376,7.632,2.337,A
463610.0,Female,Yes,31.0,Yes,Artist,0.0,Average,2.0,6.0,7.422,3.367,8.387,-0.311,A
465539.0,Female,Yes,49.0,Yes,Artist,1.0,High,5.0,6.0,2.525,5.054,-0.137,3.169,B
459823.0,Male,Yes,67.0,Yes,Executive,1.0,Low,2.0,,5.991,3.511,6.381,8.827,A
467614.0,Male,Yes,35.0,No,Artist,4.0,Average,2.0,6.0,0.997,2.751,-4.875,-0.013,B
459073.0,Female,No,26.0,Yes,Healthcare,0.0,Low,3.0,6.0,,4.146,11.128,11.887,C
466065.0,Male,,19.0,No,Healthcare,9.0,average,3.0,3.0,3.409,6.418,-2.015,4.446,D
464863.0,Female,Yes,25.0,No,Engineer,6.0,Average,8.0,4.0,5.467,3.188,10.2,3.038,D
460022.0,Female,Yes,39.0,Yes,Healthcare,4.0,Low,2.0,6.0,9.183,6.09,6.933,5.417,A
459929.0,Male,Yes,63.0,Yes,Entertainment,0.0,Low,2.0,6.0,3.912,3.65,4.461,0.803,A
466613.0,Male,No,,No,Healthcare,8.0,Low,3.0,6.0,9.805,6.629,6.486,3.092,D
461149.0,Female,No,23.0,No,Healthcare,0.0,Low,3.0,3.0,5.59,-0.199,5.532,2.7,D
466068.0,Female,Yes,53.0,Yes,Artist,2.0,Low,1.0,6.0,10.685,8.54,2.203,14.133,C
461513.0,Male,No,33.0,Yes,Doctor,0.0,Low,2.0,6.0,5.441,1.691,8.821,5.927,B
,Female,Yes,50.0,No,,,Average,4.0,2.0,5.566,8.824,-0.74,1.523,B
466236.0,Female,Yes,69.0,Yes,Engineer,0.0,Low,2.0,4.0,3.208,1.155,0.722,-0.932,B
459664.0,Male,No,37.0,Yes,Artist,2.0,Low,1.0,6.0,7.516,3.501,4.413,-1.876,B
461967.0,Female,No,20.0,No,Marketing,3.0,Low,4.0,7.0,7.967,15.619,4.124,21.899,C
460516.0,Female,,85.0,No,Lawyer,0.0,High,1.0,3.0,9.643,9.106,19.828,3.714,C
461710.0,Female,Yes,49.0,Yes,Doctor,1.0,Average,4.0,6.0,4.83,3.61,12.463,9.898,C
462742.0,Male,No,18.0,No,Healthcare,0.0,Low,3.0,3.0,9.163,10.068,5.392,5.718,D
459528.0,Female,Yes,52.0,Yes,Doctor,0.0,Average,2.0,6.0,16.275,6.06,5.441,4.282,C
462691.0,Male,Yes,25.0,No,Doctor,,Average,2.0,,-1.514,2.758,6.664,-0.546,B
462934.0,Male,Yes,56.0,No,Executive,,High,2.0,6.0,7.904,3.21,6.443,4.367,A
465837.0,Male,No,62.0,Yes,,0.0,Low,1.0,6.0,7.539,4.419,1.806,4.389,A
464613.0,Female,No,35.0,,Artist,0.0,Low,3.0,6.0,0.896,8.292,3.169,-5.197,B
467515.0,Male,Yes,28.0,Yes,,0.0,Average,2.0,6.0,3.02,9.074,2.845,5.246,A
463429.0,Female,No,28.0,Yes,Artist,7.0,Low,3.0,6.0,6.136,6.042,6.939,3.071,A
464024.0,Male,No,20.0,No,Healthcare,0.0,Low,5.0,7.0,13.172,6.328,4.68,10.492,D
460691.0,Female,No,27.0,No,Homemaker,8.0,Low,1.0,3.0,14.062,3.748,6.549,3.115,D
461825.0,Female,No,56.0,No,Engineer,,Low,1.0,6.0,6.627,4.668,5.245,2.93,A
467271.0,Male,Yes,45.0,Yes,Artist,4.0,Average,4.0,,4.208,-0.717,1.335,-1.131,B
465634.0,Male,No,25.0,Yes,Healthcare,1.0,Low,4.0,4.0,4.598,4.304,3.257,3.865,B
464801.0,Male,No,40.0,No,Marketing,1.0,Low,1.0,4.0,10.045,3.646,5.551,6.417,D
459429.0,Female,Yes,25.0,Yes,Healthcare,,Low,2.0,6.0,7.474,8.579,5.185,8.062,D
459888.0,Female,Yes,74.0,No,Lawyer,,High,2.0,6.0,5.213,5.588,6.656,8.679,D
463467.0,Female,No,23.0,No,Healthcare,0.0,average,4.0,0.0,11.118,6.028,6.527,4.649,D
462036.0,Female,Yes,67.0,Yes,Lawyer,0.0,High,2.0,6.0,8.724,4.709,1.546,2.544,B
,Male,No,21.0,No,Healthcare,0.0,Low,,0.0,5.336,7.059,5.838,0.393,D
460448.0,Female,No,38.0,Yes,Artist,9.0,Low,1.0,3.0,9.258,7.704,9.411,1.738,A
464464.0,Male,No,28.0,No,Healthcare,0.0,average,4.0,2.0,5.904,-1.298,15.489,5.484,C
462410.0,Female,No,32.0,No,Healthcare,1.0,Low,5.0,7.0,3.549,1.977,-0.871,2.908,B
467252.0,Female,No,33.0,Yes,,0.0,average,4.0,0.0,12.312,3.323,3.578,0.82,D
459756.0,Female,Yes,56.0,No,Lawyer,1.0,High,4.0,4.0,-1.786,2.234,-0.967,-1.295,B
463789.0,Female,Yes,53.0,Yes,Artist,1.0,Low,2.0,,4.142,8.457,7.252,12.338,C
,Male,Yes,57.0,No,,1.0,High,5.0,6.0,15.734,7.783,16.134,7.334,C
464150.0,Female,Yes,59.0,Yes,Artist,0.0,Average,3.0,6.0,13.98,3.83,17.178,8.399,C
465693.0,Female,Yes,25.0,Yes,,1.0,High,4.0,4.0,3.925,6.033,2.1,3.983,A
,Male,Yes,59.0,Yes,Artist,0.0,Average,6.0,6.0,8.158,11.731,13.571,10.121,C
466768.0,Female,Yes,36.0,Yes,Artist,0.0,Low,4.0,6.0,11.711,14.032,12.466,8.755,C
461550.0,Male,Yes,37.0,Yes,Entertainment,7.0,Low,2.0,6.0,5.444,4.954,4.925,4.79,A
462438.0,Male,No,22.0,No,Doctor,1.0,Low,3.0,2.0,11.026,7.727,11.702,0.592,D
460704.0,Male,Yes,43.0,Yes,Artist,1.0,Low,2.0,6.0,6.89,5.639,1.93,0.152,B
464884.0,Male,Yes,41.0,Yes,Artist,1.0,Low,2.0,4.0,7.847,7.748,6.582,2.788,A
